skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_sv_antal_m_betyg_tcv1,skolverket_sv_andel_sankt_tcv1,skolverket_sv_andel_lika_tcv1,skolverket_sv_andel_hojt_tcv1,skolverket_ma_antal_m_betyg_tcv1,skolverket_ma_andel_sankt_tcv1,skolverket_ma_andel_lika_tcv1,skolverket_ma_andel_hojt_tcv1,skolverket_en_antal_m_betyg_tcv1,skolverket_en_andel_sankt_tcv1,skolverket_en_andel_lika_tcv1,skolverket_en_andel_hojt_tcv1,skolverket_sva_antal_m_betyg_tcv1,skolverket_sva_andel_sankt_tcv1,skolverket_sva_andel_lika_tcv1,skolverket_sva_andel_hojt_tcv1,year
Klockarskolan,60111640,Säter,2082,Kommunal,Säter,2120002247,71,"18,3","66,2","15,5",.,.,.,.,69,"10,1","79,7","10,1",.,.,.,.,2018
Hofgårdsskolan,59983229,Sävsjö,0684,Kommunal,Sävsjö,2120000563,80,"13,8","66,3","20,0",.,.,.,.,95,"4,2","83,2","12,6",16,"6,3","81,3","12,5",2018
Rörviks skola,74170440,Sävsjö,0684,Kommunal,Sävsjö,2120000563,34,"5,9","55,9","38,2",.,.,.,.,35,"2,9","85,7","11,4",.,.,.,.,2018
Sävsjö kristna skola,28504550,Sävsjö,0684,Enskild,Stiftelsen Guds Kraft,8275007857,16,.,"62,5","37,5",.,.,.,.,18,.,"94,4","5,6",.,.,.,.,2018
Bergvikskolan,32721673,Söderhamn,2182,Kommunal,Söderhamn,2120002353,46,"10,9","67,4","21,7",.,.,.,.,54,"13,0","74,1","13,0",.,.,.,.,2018
Norrtullskolan C,35139330,Söderhamn,2182,Kommunal,Söderhamn,2120002353,85,"17,6","54,1","28,2",.,.,.,.,108,"11,1","73,1","15,7",23,"17,4","73,9","8,7",2018
Stenbergaskolan,26147333,Söderhamn,2182,Kommunal,Söderhamn,2120002353,39,"2,6","59,0","38,5",.,.,.,.,41,"12,2","58,5","29,3",.,.,.,.,2018
Vågbroskolan B,42162288,Söderhamn,2182,Kommunal,Söderhamn,2120002353,35,"8,6","37,1","54,3",.,.,.,.,41,"2,4","58,5","39,0",.,.,.,.,2018
Ramunderskolan,99361107,Söderköping,0582,Kommunal,Söderköping,2120000464,159,"7,5","62,9","29,6",.,.,.,.,162,"17,9","67,3","14,8",.,.,.,.,2018
Söderköpings Waldorfskola,70789823,Söderköping,0582,Enskild,Stiftelsen Söderköpings Waldorfskola,8250017939,15,"13,3","80,0","6,7",.,.,.,.,.,.,.,.,.,.,.,.,2018
Blombackaskolan,34148887,Södertälje,0181,Kommunal,Södertälje,2120000159,41,"12,2","43,9","43,9",.,.,.,.,77,"23,4","46,8","29,9",36,"22,2","52,8","25,0",2018
Brunnsängskolan,60570294,Södertälje,0181,Kommunal,Södertälje,2120000159,.,.,.,.,.,.,.,.,64,"43,8","51,6","4,7",.,.,.,.,2018
Eneskolan,97655739,Södertälje,0181,Kommunal,Södertälje,2120000159,.,.,.,.,.,.,.,.,73,.,"72,6","27,4",.,.,.,.,2018
Hovsjöskolan,82137009,Södertälje,0181,Kommunal,Södertälje,2120000159,.,.,.,.,.,.,.,.,41,"9,8","75,6","14,6",35,"5,7","68,6","25,7",2018
Hölöskolan,79466321,Södertälje,0181,Kommunal,Södertälje,2120000159,43,"11,6","60,5","27,9",.,.,.,.,43,"41,9","51,2","7,0",.,.,.,.,2018
Igelsta grundskola,75505688,Södertälje,0181,Kommunal,Södertälje,2120000159,.,.,.,.,.,.,.,.,35,"17,1","71,4","11,4",25,.,"72,0","28,0",2018
Järna friskola,41584790,Södertälje,0181,Enskild,Järna Friskola Aktiebolag,5565713210,23,"17,4","56,5","26,1",.,.,.,.,24,.,"58,3","41,7",.,.,.,.,2018
Kringlaskolan,74489639,Södertälje,0181,Enskild,Kringlaskolan AB,5567734065,48,"39,6","50,0","10,4",.,.,.,.,52,"32,7","55,8","11,5",.,.,.,.,2018
Lina grundskola,62288230,Södertälje,0181,Kommunal,Södertälje,2120000159,.,.,.,.,.,.,.,.,24,"4,2","83,3","12,5",19,"5,3","63,2","31,6",2018
Nyckelskolan,16068461,Södertälje,0181,Enskild,Nyckelknippan Förskole Aktiebolag,5564787397,25,"4,0","52,0","44,0",.,.,.,.,25,.,"52,0","48,0",.,.,.,.,2018
Oxbacksskolan,99842607,Södertälje,0181,Kommunal,Södertälje,2120000159,47,"27,7","59,6","12,8",.,.,.,.,49,"34,7","61,2","4,1",.,.,.,.,2018
Pershagenskolan,38653015,Södertälje,0181,Kommunal,Södertälje,2120000159,.,.,.,.,.,.,.,.,47,"25,5","70,2","4,3",.,.,.,.,2018
Rosenborgskolan,11914814,Södertälje,0181,Kommunal,Södertälje,2120000159,87,"10,3","55,2","34,5",.,.,.,.,113,"18,6","61,1","20,4",29,"13,8","58,6","27,6",2018
Soldalaskolan,40175889,Södertälje,0181,Kommunal,Södertälje,2120000159,.,.,.,.,.,.,.,.,55,"30,9","67,3","1,8",.,.,.,.,2018
Vittra Östertälje,12757193,Södertälje,0181,Enskild,Vittraskolorna AB,5564586716,40,"15,0","45,0","40,0",.,.,.,.,50,"8,0","56,0","36,0",.,.,.,.,2018
Wasaskolan,56568612,Södertälje,0181,Kommunal,Södertälje,2120000159,.,.,.,.,.,.,.,.,63,"7,9","61,9","30,2",59,"15,3","61,0","23,7",2018
Örjanskolan grund,10661388,Södertälje,0181,Enskild,Föreningen Örjanskolan,8156005103,20,"10,0","75,0","15,0",.,.,.,.,19,.,"73,7","26,3",.,.,.,.,2018
Bokelundsskolan H,94309839,Sölvesborg,1083,Kommunal,Sölvesborg,2120000852,95,"9,5","61,1","29,5",.,.,.,.,108,"7,4","90,7","1,9",.,.,.,.,2018
Mjällby skola H,24822447,Sölvesborg,1083,Kommunal,Sölvesborg,2120000852,59,.,"91,5","8,5",.,.,.,.,65,"6,2","87,7","6,2",.,.,.,.,2018
Hamburgsundskolan 6-9,81072495,Tanum,1435,Kommunal,Tanum,2120001348,34,"14,7","67,6","17,6",.,.,.,.,43,"16,3","72,1","11,6",.,.,.,.,2018
Tanumskolan 7-9,74079446,Tanum,1435,Kommunal,Tanum,2120001348,66,"7,6","47,0","45,5",.,.,.,.,73,"11,0","80,8","8,2",.,.,.,.,2018
"Nyboskolan, grundskola",97306690,Tibro,1472,Kommunal,Tibro,2120001660,101,"10,9","63,4","25,7",.,.,.,.,112,"18,8","72,3","8,9",.,.,.,.,2018
Forsens grundskola 7-9,40717964,Tidaholm,1498,Kommunal,Tidaholm,2120001736,47,"4,3","57,4","38,3",.,.,.,.,48,"6,3","56,3","37,5",.,.,.,.,2018
Hökensås grundskola 7-9,42899954,Tidaholm,1498,Kommunal,Tidaholm,2120001736,67,"28,4","56,7","14,9",.,.,.,.,66,"6,1","65,2","28,8",.,.,.,.,2018
Aspenskolan,15416514,Tierp,0360,Kommunal,Tierp,2120000266,50,"6,0","62,0","32,0",.,.,.,.,60,"21,7","66,7","11,7",.,.,.,.,2018
Centralskolan,17240817,Tierp,0360,Kommunal,Tierp,2120000266,48,"2,1","77,1","20,8",.,.,.,.,46,"4,3","89,1","6,5",.,.,.,.,2018
Ol Andersskolan,65153737,Tierp,0360,Kommunal,Tierp,2120000266,30,"10,0","70,0","20,0",.,.,.,.,29,.,"86,2","13,8",.,.,.,.,2018
Örbyhus skola,69241995,Tierp,0360,Kommunal,Tierp,2120000266,44,"20,5","63,6","15,9",.,.,.,.,46,"19,6","73,9","6,5",.,.,.,.,2018
Ala skola,59092675,Timrå,2262,Kommunal,Timrå,2120002395,47,"10,6","70,2","19,1",.,.,.,.,48,"18,8","62,5","18,8",.,.,.,.,2018
Arenaskolan,81784662,Timrå,2262,Kommunal,Timrå,2120002395,96,"4,2","60,4","35,4",.,.,.,.,100,"10,0","72,0","18,0",.,.,.,.,2018
Dackeskolan 7-9,56361478,Tingsryd,0763,Kommunal,Tingsryd,2120000621,72,"8,3","75,0","16,7",.,.,.,.,85,"10,6","74,1","15,3",21,"23,8","66,7","9,5",2018
Idekulla skola,66342347,Tingsryd,0763,Enskild,Idekulla Skola Handelsbolag,9696416842,37,.,"86,5","13,5",.,.,.,.,37,"5,4","89,2","5,4",.,.,.,.,2018
Bleketskolan,16656370,Tjörn,1419,Kommunal,Tjörn,2120001306,59,"3,4","49,2","47,5",.,.,.,.,.,.,.,.,.,.,.,.,2018
Häggvallskolan,23228302,Tjörn,1419,Kommunal,Tjörn,2120001306,77,"6,5","74,0","19,5",.,.,.,.,.,.,.,.,.,.,.,.,2018
Kastanjeskolan,90360196,Tomelilla,1270,Kommunal,Tomelilla,2120000886,103,"9,7","62,1","28,2",.,.,.,.,110,"9,1","76,4","14,5",.,.,.,.,2018
Frykenskolan,21568934,Torsby,1737,Kommunal,Torsby,2120001777,77,"24,7","51,9","23,4",.,.,.,.,88,"9,1","55,7","35,2",.,.,.,.,2018
Kvistbergsskolan,83025413,Torsby,1737,Kommunal,Torsby,2120001777,.,.,.,.,.,.,.,.,15,"13,3","86,7",.,.,.,.,.,2018
Torskolan H,99636909,Torsås,0834,Kommunal,Torsås,2120000696,58,"6,9","51,7","41,4",.,.,.,.,63,"7,9","71,4","20,6",.,.,.,.,2018
Tranängskolan 7-9,33759766,Tranemo,1452,Kommunal,Tranemo,2120001462,125,"12,0","52,0","36,0",.,.,.,.,131,"20,6","67,9","11,5",.,.,.,.,2018
Junkaremålsskolan 7-9,18476537,Tranås,0687,Kommunal,Tranås,2120000597,117,"11,1","65,8","23,1",.,.,.,.,131,"13,7","71,8","14,5",.,.,.,.,2018
Ängarydsskolan,10155751,Tranås,0687,Kommunal,Tranås,2120000597,72,"9,7","62,5","27,8",.,.,.,.,77,"6,5","53,2","40,3",.,.,.,.,2018
Fågelbäcksskolan 6-9,94965726,Trelleborg,1287,Kommunal,Trelleborg,2120001199,49,"6,1","53,1","40,8",.,.,.,.,63,"7,9","77,8","14,3",.,.,.,.,2018
Kunskapsskolan Trelleborg,65892623,Trelleborg,1287,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,44,"4,5","29,5","65,9",.,.,.,.,45,"2,2","75,6","22,2",.,.,.,.,2018
Liljeborgsskolan 7-9,42096980,Trelleborg,1287,Kommunal,Trelleborg,2120001199,136,"5,9","50,0","44,1",.,.,.,.,137,"16,8","64,2","19,0",.,.,.,.,2018
Pilevallskolan F-9,24947938,Trelleborg,1287,Kommunal,Trelleborg,2120001199,.,.,.,.,.,.,.,.,25,"4,0","88,0","8,0",20,"5,0","65,0","30,0",2018
Vannhögskolan 6-9,92281801,Trelleborg,1287,Kommunal,Trelleborg,2120001199,100,.,"46,0","54,0",.,.,.,.,104,"1,0","93,3","5,8",.,.,.,.,2018
Väståkraskolan F-9,16081769,Trelleborg,1287,Kommunal,Trelleborg,2120001199,56,"8,9","75,0","16,1",.,.,.,.,56,"14,3","76,8","8,9",.,.,.,.,2018
"Fridaskolan, Trollhättan",56884611,Trollhättan,1488,Enskild,Fridaskolorna AB,5564515988,73,.,"87,7","12,3",.,.,.,.,73,.,"95,9","4,1",.,.,.,.,2018
Hjortmosseskolan 5-9,84590859,Trollhättan,1488,Kommunal,Trollhättan,2120001546,36,"5,6","38,9","55,6",.,.,.,.,46,"6,5","63,0","30,4",.,.,.,.,2018
Kronan 7-9,63750711,Trollhättan,1488,Kommunal,Trollhättan,2120001546,.,.,.,.,.,.,.,.,.,.,.,.,43,"9,3","72,1","18,6",2018
Lyrfågelskolan 7-9,81052393,Trollhättan,1488,Kommunal,Trollhättan,2120001546,89,"13,5","61,8","24,7",.,.,.,.,92,"4,3","65,2","30,4",.,.,.,.,2018
"Nya Skolan, Trollhättan",11588924,Trollhättan,1488,Enskild,Nya Skolan Trollhättan Aktiebolag,5566127600,.,.,.,.,.,.,.,.,33,"36,4","42,4","21,2",.,.,.,.,2018
Paradisskolan 7-9,38786603,Trollhättan,1488,Kommunal,Trollhättan,2120001546,63,"11,1","54,0","34,9",.,.,.,.,.,.,.,.,.,.,.,.,2018
Sjuntorpskolan 4-9,39396701,Trollhättan,1488,Kommunal,Trollhättan,2120001546,47,"6,4","66,0","27,7",.,.,.,.,47,"4,3","68,1","27,7",.,.,.,.,2018
Skogshöjdens skola 4-9,17106266,Trollhättan,1488,Kommunal,Trollhättan,2120001546,36,"13,9","58,3","27,8",.,.,.,.,.,.,.,.,.,.,.,.,2018
Stavreskolan 4-9,49525819,Trollhättan,1488,Kommunal,Trollhättan,2120001546,39,"20,5","59,0","20,5",.,.,.,.,39,"5,1","92,3","2,6",.,.,.,.,2018
Strömslundsskolan 7-9,96091081,Trollhättan,1488,Kommunal,Trollhättan,2120001546,48,"22,9","60,4","16,7",.,.,.,.,.,.,.,.,.,.,.,.,2018
Sylteskolan 7-9,66414430,Trollhättan,1488,Kommunal,Trollhättan,2120001546,46,"4,3","76,1","19,6",.,.,.,.,87,"14,9","66,7","18,4",50,"4,0","70,0","26,0",2018
Hedebyskolan,45500152,Trosa,0488,Kommunal,Trosa,2120002957,46,"2,2","50,0","47,8",.,.,.,.,50,"6,0","78,0","16,0",.,.,.,.,2018
Tomtaklintskolan,51044218,Trosa,0488,Kommunal,Trosa,2120002957,107,"3,7","69,2","27,1",.,.,.,.,104,"11,5","83,7","4,8",.,.,.,.,2018
Dalskolan,56130729,Tyresö,0138,Kommunal,Tyresö,2120000092,64,"23,4","59,4","17,2",.,.,.,.,68,"29,4","67,6","2,9",.,.,.,.,2018
Internationella Engelska Skolan Tyresö,60904587,Tyresö,0138,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,110,"3,6","43,6","52,7",.,.,.,.,122,"13,1","59,8","27,0",.,.,.,.,2018
Kumla skola,37147254,Tyresö,0138,Kommunal,Tyresö,2120000092,114,"22,8","43,9","33,3",.,.,.,.,116,"12,1","69,0","19,0",.,.,.,.,2018
Nyboda skola,31281674,Tyresö,0138,Kommunal,Tyresö,2120000092,89,"10,1","66,3","23,6",.,.,.,.,104,"14,4","76,0","9,6",15,.,"66,7","33,3",2018
Strandskolan,87665835,Tyresö,0138,Kommunal,Tyresö,2120000092,56,"21,4","55,4","23,2",.,.,.,.,51,"33,3","60,8","5,9",.,.,.,.,2018
Tyresö skola,83020784,Tyresö,0138,Kommunal,Tyresö,2120000092,90,"15,6","71,1","13,3",.,.,.,.,90,"23,3","73,3","3,3",.,.,.,.,2018
Byängsskolan,65839656,Täby,0160,Enskild,Byängsskolan AB,5567563316,92,"2,2","72,8","25,0",.,.,.,.,88,"11,4","77,3","11,4",.,.,.,.,2018
Futuraskolan International Bergtorp,24142153,Täby,0160,Enskild,Futuraskolan AB,5566095047,152,"11,8","63,2","25,0",.,.,.,.,146,"13,7","76,0","10,3",.,.,.,.,2018
Helleborusskolan,45984740,Täby,0160,Enskild,Helleborusskolan Täby AB,5567508386,22,"9,1","63,6","27,3",.,.,.,.,22,"31,8","45,5","22,7",.,.,.,.,2018
Internationella Engelska Skolan Täby,12332278,Täby,0160,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,162,"11,7","48,8","39,5",.,.,.,.,178,"15,2","77,5","7,3",.,.,.,.,2018
Kunskapsskolan Täby,25309669,Täby,0160,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,.,.,.,.,.,.,.,.,56,"21,4","73,2","5,4",.,.,.,.,2018
Mellansjö skola,54332921,Täby,0160,Enskild,Nytida Enigma AB,5564870771,15,"13,3","66,7","20,0",.,.,.,.,.,.,.,.,.,.,.,.,2018
Milstensskolan,23312767,Täby,0160,Enskild,Pysslingen Förskolor och Skolor AB,5560354309,20,"20,0","50,0","30,0",.,.,.,.,20,"5,0","70,0","25,0",.,.,.,.,2018
Näsbydalskolan,22807677,Täby,0160,Kommunal,Täby,2120000118,122,"8,2","75,4","16,4",.,.,.,.,.,.,.,.,.,.,.,.,2018
Näsbyparksskolan,96330648,Täby,0160,Kommunal,Täby,2120000118,63,"19,0","61,9","19,0",.,.,.,.,61,"13,1","85,2","1,6",.,.,.,.,2018
Skarpängsskolan,83454509,Täby,0160,Kommunal,Täby,2120000118,113,"3,5","67,3","29,2",.,.,.,.,112,"8,0","80,4","11,6",.,.,.,.,2018
Skolhagenskolan,69088221,Täby,0160,Kommunal,Täby,2120000118,114,"7,9","56,1","36,0",.,.,.,.,115,"14,8","80,0","5,2",.,.,.,.,2018
Spirande lärande i Täby AB,89424201,Täby,0160,Enskild,Spirande lärande i Täby AB,5565917993,29,.,"100,0",.,.,.,.,.,29,.,"93,1","6,9",.,.,.,.,2018
Täby Friskola-Enhagen,32231541,Täby,0160,Enskild,Täby Friskola Aktiebolag,5565998860,80,"1,3","76,3","22,5",.,.,.,.,82,"12,2","73,2","14,6",.,.,.,.,2018
Vallatorpsskolan,57206066,Täby,0160,Kommunal,Täby,2120000118,40,"2,5","57,5","40,0",.,.,.,.,.,.,.,.,.,.,.,.,2018
Töreboda Centralskola,94707451,Töreboda,1473,Kommunal,Töreboda,2120001678,68,"19,1","66,2","14,7",.,.,.,.,72,"12,5","73,6","13,9",.,.,.,.,2018
"Fridaskolan, Uddevalla",27489448,Uddevalla,1485,Enskild,Fridaskolorna AB,5564515988,64,"20,3","59,4","20,3",.,.,.,.,65,"33,8","58,5","7,7",.,.,.,.,2018
Linnéaskolan,92086024,Uddevalla,1485,Kommunal,Uddevalla,2120001397,41,"14,6","65,9","19,5",.,.,.,.,41,"22,0","73,2","4,9",.,.,.,.,2018
Norgårdenskolan 7-9,10405686,Uddevalla,1485,Kommunal,Uddevalla,2120001397,106,"4,7","34,9","60,4",.,.,.,.,107,"4,7","76,6","18,7",.,.,.,.,2018
Ramnerödsskolan,83416307,Uddevalla,1485,Kommunal,Uddevalla,2120001397,18,"5,6","50,0","44,4",.,.,.,.,53,"9,4","86,8","3,8",35,.,"62,9","37,1",2018
Sommarhemsskolan 7-9,45535775,Uddevalla,1485,Kommunal,Uddevalla,2120001397,95,"8,4","53,7","37,9",.,.,.,.,102,"9,8","77,5","12,7",.,.,.,.,2018
Stenbackeskolan,77005811,Uddevalla,1485,Enskild,Stiftelsen Uddevalla Kristna Skola,8585011904,.,.,.,.,.,.,.,.,16,"6,3","68,8","25,0",.,.,.,.,2018
Västerskolan 8-9,94258829,Uddevalla,1485,Kommunal,Uddevalla,2120001397,109,"15,6","49,5","34,9",.,.,.,.,122,"16,4","68,0","15,6",16,"25,0","50,0","25,0",2018
Stenbocksskolan,39517088,Ulricehamn,1491,Kommunal,Ulricehamn,2120001579,168,"5,4","58,3","36,3",.,.,.,.,170,"7,1","84,1","8,8",18,"5,6","61,1","33,3",2018
Ätradalsskolan,28080863,Ulricehamn,1491,Kommunal,Ulricehamn,2120001579,72,"2,8","68,1","29,2",.,.,.,.,82,"9,8","65,9","24,4",.,.,.,.,2018
Bräntbergsskolan 1,44391304,Umeå,2480,Kommunal,Umeå,2120002627,16,.,"100,0",.,.,.,.,.,18,"11,1","88,9",.,.,.,.,.,2018
Bräntbergsskolan 2,51963791,Umeå,2480,Kommunal,Umeå,2120002627,38,"10,5","50,0","39,5",.,.,.,.,40,"15,0","72,5","12,5",.,.,.,.,2018
Carlshöjdsskolan 2,42259280,Umeå,2480,Kommunal,Umeå,2120002627,27,"3,7","44,4","51,9",.,.,.,.,28,"39,3","50,0","10,7",.,.,.,.,2018
Ersängsskolan 7-9,96783420,Umeå,2480,Kommunal,Umeå,2120002627,32,"15,6","59,4","25,0",.,.,.,.,40,"5,0","90,0","5,0",.,.,.,.,2018
Grubbeskolan 1,21768043,Umeå,2480,Kommunal,Umeå,2120002627,70,"8,6","60,0","31,4",.,.,.,.,70,"17,1","68,6","14,3",.,.,.,.,2018
Grubbeskolan 2,89248713,Umeå,2480,Kommunal,Umeå,2120002627,52,"19,2","57,7","23,1",.,.,.,.,45,"8,9","86,7","4,4",.,.,.,.,2018
Hagaskolan 7-9,81936022,Umeå,2480,Kommunal,Umeå,2120002627,78,"11,5","70,5","17,9",.,.,.,.,84,"34,5","60,7","4,8",.,.,.,.,2018
Hörnefors Centralskola 7-9,85438284,Umeå,2480,Kommunal,Umeå,2120002627,27,"18,5","74,1","7,4",.,.,.,.,29,"3,4","93,1","3,4",.,.,.,.,2018
Linneaskolan,39117429,Umeå,2480,Kommunal,Umeå,2120002627,40,"7,5","60,0","32,5",.,.,.,.,33,"15,2","66,7","18,2",.,.,.,.,2018
Obbola skola 4-9,31716818,Umeå,2480,Kommunal,Umeå,2120002627,23,"13,0","73,9","13,0",.,.,.,.,23,"8,7","69,6","21,7",.,.,.,.,2018
"Prolympia, Umeå",28958120,Umeå,2480,Enskild,Ulno AB,5566577705,73,"21,9","60,3","17,8",.,.,.,.,70,"25,7","67,1","7,1",.,.,.,.,2018
Sjöfruskolan 3,76392400,Umeå,2480,Kommunal,Umeå,2120002627,52,.,"80,8","19,2",.,.,.,.,55,"7,3","85,5","7,3",.,.,.,.,2018
Storsjöskolan 2,10954341,Umeå,2480,Kommunal,Umeå,2120002627,61,"14,8","72,1","13,1",.,.,.,.,60,"23,3","71,7","5,0",.,.,.,.,2018
Sävar skola 1 (åk 7-9),90639590,Umeå,2480,Kommunal,Umeå,2120002627,63,"14,3","71,4","14,3",.,.,.,.,64,"20,3","64,1","15,6",.,.,.,.,2018
Tegs centralskola 1,96517991,Umeå,2480,Kommunal,Umeå,2120002627,47,"2,1","78,7","19,1",.,.,.,.,50,"40,0","60,0",.,.,.,.,.,2018
Tegs centralskola 2,74820849,Umeå,2480,Kommunal,Umeå,2120002627,59,"16,9","66,1","16,9",.,.,.,.,71,"18,3","80,3","1,4",.,.,.,.,2018
Västangårds skola 6-9,36171517,Umeå,2480,Kommunal,Umeå,2120002627,27,"7,4","88,9","3,7",.,.,.,.,29,.,"89,7","10,3",.,.,.,.,2018
Ålidhemsskolan 6-9,42752416,Umeå,2480,Kommunal,Umeå,2120002627,31,"6,5","87,1","6,5",.,.,.,.,42,"2,4","92,9","4,8",.,.,.,.,2018
Grimsta skola,44227469,Upplands Väsby,0114,Kommunal,Upplands Väsby,2120000019,87,"11,5","43,7","44,8",.,.,.,.,97,"14,4","77,3","8,2",.,.,.,.,2018
Runby skola,77624936,Upplands Väsby,0114,Kommunal,Upplands Väsby,2120000019,46,"23,9","71,7","4,3",.,.,.,.,55,"23,6","67,3","9,1",.,.,.,.,2018
Sandbergska Competens,97762139,Upplands Väsby,0114,Enskild,Sandbergska Competens AB,5567796387,21,.,"61,9","38,1",.,.,.,.,21,"9,5","81,0","9,5",.,.,.,.,2018
Södervikskolan,49021135,Upplands Väsby,0114,Enskild,Södervikskolan AB,5567220347,101,"8,9","62,4","28,7",.,.,.,.,106,"0,9","80,2","18,9",.,.,.,.,2018
Vittra Väsby,24374886,Upplands Väsby,0114,Enskild,Vittraskolorna AB,5564586716,.,.,.,.,.,.,.,.,26,"15,4","73,1","11,5",.,.,.,.,2018
Väsby skola,31018677,Upplands Väsby,0114,Kommunal,Upplands Väsby,2120000019,41,"14,6","36,6","48,8",.,.,.,.,68,"35,3","45,6","19,1",29,"6,9","41,4","51,7",2018
Broskolan,16983719,Upplands-Bro,0139,Kommunal,Upplands-Bro,2120000100,79,"2,5","40,5","57,0",.,.,.,.,93,"1,1","86,0","12,9",.,.,.,.,2018
Ekhammarskolan,92284588,Upplands-Bro,0139,Kommunal,Upplands-Bro,2120000100,87,"12,6","73,6","13,8",.,.,.,.,67,"10,4","76,1","13,4",.,.,.,.,2018
Hagnässkolan,16969143,Upplands-Bro,0139,Kommunal,Upplands-Bro,2120000100,68,"10,3","60,3","29,4",.,.,.,.,74,"6,8","79,7","13,5",.,.,.,.,2018
Källskolan Ekhammar,85796724,Upplands-Bro,0139,Enskild,Föreningen För Kristen Skola i Upplands-Bro,8132004659,16,"25,0","56,3","18,8",.,.,.,.,18,"27,8","66,7","5,6",.,.,.,.,2018
Almunge skola,99056007,Uppsala,0380,Kommunal,Uppsala,2120003005,58,"6,9","67,2","25,9",.,.,.,.,56,"30,4","62,5","7,1",.,.,.,.,2018
Björkvallsskolan,89112467,Uppsala,0380,Kommunal,Uppsala,2120003005,77,"7,8","70,1","22,1",.,.,.,.,77,"1,3","89,6","9,1",.,.,.,.,2018
Eriksbergsskolan,18733789,Uppsala,0380,Kommunal,Uppsala,2120003005,82,"7,3","73,2","19,5",.,.,.,.,89,"32,6","62,9","4,5",.,.,.,.,2018
Gluntens Montessoriskola,57484572,Uppsala,0380,Enskild,Gluntens Montessoriskola Ek För,7164225521,41,"4,9","53,7","41,5",.,.,.,.,43,"7,0","81,4","11,6",.,.,.,.,2018
Gottsundaskolan,93042073,Uppsala,0380,Kommunal,Uppsala,2120003005,85,"7,1","57,6","35,3",.,.,.,.,89,"5,6","76,4","18,0",.,.,.,.,2018
Gränbyskolan,60782519,Uppsala,0380,Kommunal,Uppsala,2120003005,76,"3,9","52,6","43,4",.,.,.,.,23,"17,4","73,9","8,7",30,"10,0","53,3","36,7",2018
Gåvsta skola,12275851,Uppsala,0380,Kommunal,Uppsala,2120003005,19,"10,5","73,7","15,8",.,.,.,.,23,"17,4","65,2","17,4",.,.,.,.,2018
Internationella Engelska skolan Uppsala,83401016,Uppsala,0380,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,93,"38,7","51,6","9,7",.,.,.,.,113,"15,9","78,8","5,3",16,"12,5","68,8","18,8",2018
JENSEN grundskola Uppsala,25730446,Uppsala,0380,Enskild,Jensen Education College AB,5566358759,24,"16,7","41,7","41,7",.,.,.,.,.,.,.,.,.,.,.,.,2018
Katarinaskolan,71951060,Uppsala,0380,Enskild,Heliga Katarinas Skolstiftelse,8176030867,86,"14,0","57,0","29,1",.,.,.,.,86,"22,1","66,3","11,6",.,.,.,.,2018
Kunskapsskolan Uppsala,73947432,Uppsala,0380,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,131,"10,7","62,6","26,7",.,.,.,.,129,"15,5","74,4","10,1",.,.,.,.,2018
Kunskapsskolan Uppsala Norra,73806643,Uppsala,0380,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,68,"5,9","75,0","19,1",.,.,.,.,64,"7,8","78,1","14,1",.,.,.,.,2018
Kvarngärdesskolan,61003071,Uppsala,0380,Kommunal,Uppsala,2120003005,17,"5,9","29,4","64,7",.,.,.,.,.,.,.,.,.,.,.,.,2018
LOKS                   Kyrkskolan 7-9,35561766,Uppsala,0380,Enskild,LOKS AB,5565835146,69,"4,3","85,5","10,1",.,.,.,.,73,.,"100,0",.,.,.,.,.,2018
Palmbladsskolan,40275917,Uppsala,0380,Kommunal,Uppsala,2120003005,69,"13,0","63,8","23,2",.,.,.,.,.,.,.,.,.,.,.,.,2018
Raoul Wallenbergskolan Uppsala,56867001,Uppsala,0380,Enskild,Raoul Wallenbergskolorna AB,5566740113,33,"15,2","63,6","21,2",.,.,.,.,43,"9,3","67,4","23,3",.,.,.,.,2018
Stordammen,95132430,Uppsala,0380,Kommunal,Uppsala,2120003005,23,"8,7","69,6","21,7",.,.,.,.,29,"6,9","69,0","24,1",.,.,.,.,2018
Tiundaskolan,53847396,Uppsala,0380,Kommunal,Uppsala,2120003005,105,"8,6","63,8","27,6",.,.,.,.,99,"19,2","68,7","12,1",.,.,.,.,2018
Tunabergsskolan,54742485,Uppsala,0380,Kommunal,Uppsala,2120003005,128,"0,8","92,2","7,0",.,.,.,.,126,"1,6","96,8","1,6",.,.,.,.,2018
Uppsala Musikklasser,89387408,Uppsala,0380,Enskild,Stiftelsen Uppsala Musikklasser,8176054917,53,"28,3","49,1","22,6",.,.,.,.,80,"28,8","65,0","6,3",.,.,.,.,2018
