skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_sv_tcv25,skolverket_andel_sv_tcv25,skolverket_and_uppn_alla_amnen_sv_tcv25,skolverket_and_behorig_sv_tcv25,skolverket_gmv_sv_tcv25,skolverket_antal_f_sv_tcv25,skolverket_andel_f_sv_tcv25,skolverket_and_uppn_alla_amnen_f_sv_tcv25,skolverket_and_behorig_f_sv_tcv25,skolverket_gmv_f_sv_tcv25,skolverket_antal_f_utl_tcv25,skolverket_andel_f_utl_tcv25,skolverket_and_uppn_alla_amnen_f_utl_tcv25,skolverket_and_behorig_f_utl_tcv25,skolverket_gmv_f_utl_tcv25,year
Överkalix,Strandskolan,Kommunal,Överkalix,50308658,24,"80,0","95,8",~100,"225,1",..,..,.,.,.,..,..,..,..,..,2013
Övertorneå,"Övertorneå CSK år F-9, Ro 2",Kommunal,Övertorneå,53794508,23,"63,9","60,9","78,3","202,7",..,..,..,..,..,..,..,..,..,"118,5",2013
Ale,Ahlafors Fria skola,Enskild,,71387206,44,"97,8","90,9",~100,"221,3",..,..,.,.,.,..,..,.,..,..,2013
Alingsås,Linnéskolan,Enskild,,32478204,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Alingsås,Montessoriskolan Globen,Enskild,,87109819,50,"98,0","98,0",~100,"252,3",..,..,.,.,.,..,..,.,..,..,2013
Alingsås,Vittra Gerdsken,Enskild,,98272016,42,"95,5","81,0",~100,"228,7",..,..,..,..,..,..,..,..,..,..,2013
Arvika,"Estetiska skolan, Arvika",Enskild,,99375199,38,"97,4","92,1",~100,"226,5",..,..,.,.,.,..,..,..,..,..,2013
Bjuv,Forsärlans Miljöskola,Enskild,,18213876,27,"100,0","88,9",~100,"208,4",.,.,.,.,.,.,.,.,.,.,2013
Boden,Fria Emilia,Enskild,,98998541,22,"100,0","86,4",~100,"244,4",.,.,.,.,.,.,.,.,.,.,2013
Boden,Norrskenets Friskola i Boden,Enskild,,40708452,47,"90,4","87,2",~100,"212,7",..,..,..,..,..,..,..,..,..,..,2013
Bollnäs,Edenskolan,Enskild,,69498258,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Borlänge,Immanuelskolan,Enskild,,24147931,..,..,..,..,..,.,.,.,.,.,..,..,..,..,..,2013
Borås,Borås Kristna skola,Enskild,,64720166,15,"75,0","86,7",~100,"230,8",..,..,..,..,..,..,..,..,..,..,2013
Borås,Engelska Skolan i Borås,Enskild,,58354320,32,"58,2","93,8","100,0","270,2",10,"18,2","100,0","100,0","257,5",13,"23,6","84,6",~100,"252,1",2013
Borås,Kunskapsskolan Borås,Enskild,,10257640,92,"95,8","95,7","100,0","247,1",..,..,..,..,..,..,..,..,..,..,2013
Borås,Malmen Montessori,Enskild,,10132939,14,"51,9","85,7","100,0","204,3",..,..,..,..,..,..,..,..,..,..,2013
Botkyrka,Botkyrka Friskola F-9,Enskild,,80378022,..,..,..,~100,"203,2",30,"65,2","90,0",~100,"239,8",..,..,..,..,..,2013
Botkyrka,Freinetskolan Kastanjen,Enskild,,29524966,11,"52,4","100,0","100,0","254,1",..,..,..,..,..,..,..,.,.,..,2013
Botkyrka,Kunskapsskolan Botkyrka,Enskild,,84411355,56,"78,9","92,9",~100,"246,3",..,..,..,..,"222,8",..,..,..,..,..,2013
Botkyrka,"Sverigefinska skolan, Botkyrka",Enskild,,57850353,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2013
Danderyd,Viktor Rydbergs Samskola,Enskild,,13493243,152,"84,4","94,1","100,0","251,4",..,..,..,..,..,..,..,"94,7","100,0","239,3",2013
Ekerö,Birkaskolan,Enskild,,27595656,30,"96,8","96,7",~100,"243,4",..,..,.,.,.,..,..,..,..,..,2013
Ekerö,Drottningholmskolan,Enskild,,28231215,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Ekerö,Sundsgården skola,Enskild,,14571770,..,..,.,..,..,..,..,.,..,..,.,.,.,.,.,2013
Eksjö,Broarps skola,Enskild,,30452569,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Enköping,Bergtallens skola,Enskild,,73178642,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Enköping,Kunskapsskolan Enköping,Enskild,,67723630,81,"93,1","92,6",~100,"228,2",..,..,..,..,..,..,..,..,..,..,2013
Eskilstuna,"British Junior Sec, Eskilstuna",Enskild,,50048111,..,..,..,..,..,..,..,.,..,..,..,..,..,..,..,2013
Eskilstuna,Engelska Skolan i Eskilstuna,Enskild,,36759013,136,"70,5","95,6","100,0","276,1",31,"16,1","93,5","100,0","263,5",26,"13,5","96,2","100,0","268,2",2013
Fagersta,Lindgårdsskolan,Enskild,,50128489,11,"91,7",..,..,"191,1",..,..,.,.,.,..,..,..,..,..,2013
Falkenberg,Vesterhavsskolan,Enskild,,35136963,64,"87,7","93,8",~100,"242,3",..,..,..,..,..,..,..,..,..,..,2013
Falköping,Vårkullens skolveckohem,Enskild,,43911053,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Falun,Backafors resursskola,Enskild,,27560810,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2013
Falun,Friskolan Mosaik,Enskild,,65494903,21,"100,0","76,2",~100,"241,2",.,.,.,.,.,.,.,.,.,.,2013
Falun,Söderbaumska skolan,Enskild,,72625090,45,"95,7","86,7",~100,"230,2",..,..,..,..,..,..,..,..,..,..,2013
Flen,Flens kristna skola,Enskild,,52287808,..,..,..,..,..,..,..,.,.,..,.,.,.,.,.,2013
Flen,Gårdsjö skola,Enskild,,38402217,..,..,.,..,..,..,..,.,.,.,.,.,.,.,.,2013
Gislaved,Montessorifriskolan i Gislaved,Enskild,,93436580,10,"100,0","100,0","100,0","249,0",.,.,.,.,.,.,.,.,.,.,2013
Gnesta,Gnesta Waldorfskola,Enskild,,35159342,..,..,..,..,..,.,.,.,.,.,..,..,..,..,..,2013
Gotland,Atheneskolan,Enskild,,52229866,46,"90,2","95,7",~100,"220,5",..,..,..,..,..,..,..,..,..,..,2013
Gotland,"Guteskolan, grundskola",Enskild,,42518434,31,"93,9","83,9",~100,"223,3",..,..,.,.,.,..,..,..,..,..,2013
Gotland,Orionskolan,Enskild,,27928506,..,..,.,..,..,..,..,.,.,.,.,.,.,.,.,2013
Gävle,Engelska Skolan i Gävle,Enskild,,53952728,142,"69,6","87,3",~100,"250,2",32,"15,7","78,1",~100,"232,0",30,"14,7","76,7","100,0","244,6",2013
Gävle,Friskolan Lyftet,Enskild,,11476454,19,"86,4","63,2","73,7","183,1",..,..,..,..,..,..,..,.,..,..,2013
Gävle,MBC skolan Gävle,Enskild,,64745639,..,..,.,.,..,..,..,.,.,.,.,.,.,.,.,2013
Gävle,"Prolympia, Gävle",Enskild,,57578095,88,"97,8","88,6",~100,"212,7",..,..,.,.,.,..,..,..,..,..,2013
Gävle,Trädgårdsskolan GKS,Enskild,,87088456,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,2013
Göteborg,Assaredsskolan,Enskild,,25852980,13,"52,0",..,~100,"224,8",..,..,..,..,"194,8",..,..,..,..,..,2013
Göteborg,Brandströmska skolan Nylöse,Enskild,,11295861,..,..,..,..,"213,9",27,"62,8","40,7","74,1","196,1",..,..,..,..,..,2013
Göteborg,Böskolans friskola,Enskild,,83071620,31,"70,5","96,8","100,0","237,7",..,..,..,..,..,..,..,..,..,..,2013
Göteborg,Centrina Lindholmen,Enskild,,79866556,59,"83,1","84,7",~100,"258,1",..,..,..,..,..,..,..,..,..,..,2013
Göteborg,Drakbergsskolan,Enskild,,60526603,18,"78,3","83,3",~100,"237,8",..,..,..,..,..,..,..,..,..,..,2013
Göteborg,Ebba Petterssons Grundskola,Enskild,,88247874,90,"91,8","94,4",~100,"232,9",..,..,..,..,..,..,..,..,..,..,2013
Göteborg,Fenestra Centrum,Enskild,,87139814,45,"68,2","77,8",~100,"212,1",..,..,..,~100,"215,2",..,..,..,..,..,2013
Göteborg,Fenestra S:t Jörgen,Enskild,,27265374,43,"68,3","74,4",~100,"214,2",..,..,"58,8","100,0","224,0",..,..,..,..,..,2013
Göteborg,Franska skolan Göteborg,Enskild,,55860193,12,"63,2","100,0","100,0","269,0",..,..,..,..,..,..,..,..,..,..,2013
Göteborg,Freinetskolan Bild & Form,Enskild,,31872640,27,"93,1","81,5","100,0","241,4",..,..,..,..,..,..,..,.,.,.,2013
Göteborg,Göteborgs Högre Samskola gr.,Enskild,,52538248,162,"90,5","94,4",~100,"258,4",..,..,"100,0","100,0","267,5",..,..,..,..,..,2013
Göteborg,Int Engelska Skolan i Göteborg,Enskild,,45124936,46,"42,6","80,4","100,0","242,3",38,"35,2","60,5",~100,"217,6",24,"22,2","58,3",~100,"207,4",2013
Göteborg,ISGR/International section,Enskild,,30191226,30,"53,6",..,..,..,..,..,..,..,..,..,..,.,.,.,2013
Göteborg,ISGR/Swedish-English,Enskild,,80498460,30,"57,7","93,3","100,0","262,0",..,..,"60,0",~100,"211,6",..,..,..,..,..,2013
Göteborg,Katolska skolan av Notre Dame,Enskild,,45045293,..,..,..,..,..,..,..,"66,7",~100,"204,0",22,"46,8","68,2",~100,"199,0",2013
Göteborg,Kristinaskolan,Enskild,,46512685,..,..,..,..,..,10,"45,5",..,"100,0","237,0",..,..,..,..,..,2013
Göteborg,Kunskapsskolan Krokslätt,Enskild,,83045482,42,"66,7","83,3",~100,"221,5",..,..,"81,3",~100,"235,8",..,..,..,..,..,2013
Göteborg,Magelungen Karlaskolan,Enskild,,97205555,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Göteborg,Montessoriskolan Casa,Enskild,,76938537,27,"93,1","100,0","100,0","263,6",..,..,..,..,..,..,..,.,.,.,2013
Göteborg,Montessoriskolan Centrum,Enskild,,73995321,12,"44,4",..,~100,"214,0",..,..,..,..,..,..,..,..,..,..,2013
Göteborg,Montessoriskolan Skäret,Enskild,,25894254,26,"96,3","100,0","100,0","235,3",..,..,..,..,..,..,..,.,.,.,2013
Göteborg,Rudolf Steinerskolan Göteborg,Enskild,,42817980,22,"95,7","81,8","100,0","257,2",..,..,.,..,..,..,..,.,.,.,2013
Göteborg,Römosseskolan,Enskild,,72408586,..,..,..,..,..,21,"77,8","76,2","100,0","246,9",..,..,..,..,..,2013
Göteborg,Sverigefinska skolan i Gbg,Enskild,,56289245,..,..,.,.,.,.,.,.,.,.,..,..,..,..,..,2013
Göteborg,The English School Gothenburg,Enskild,,66890810,13,"43,3","84,6","100,0","236,5",..,..,..,..,..,..,..,..,..,..,2013
Göteborg,Vasaskolan,Enskild,,56168083,36,"83,7","86,1","100,0","233,8",..,..,..,..,..,..,..,.,.,.,2013
Göteborg,Victoriaskolan,Enskild,,80678068,..,..,..,..,..,14,"66,7","78,6","100,0","225,0",..,..,..,..,..,2013
Göteborg,Vittra Kronhusparken,Enskild,,67543412,28,"60,9","67,9",~100,"201,1",..,..,"84,6",~100,"244,0",..,..,..,..,..,2013
Göteborg,Waldorfskolan Grenkvist,Enskild,,36158006,10,"66,7",..,..,"113,3",..,..,..,..,..,..,..,.,.,..,2013
Halmstad,Eketånga Montessoriskola,Enskild,,28459364,20,"80,0","95,0","100,0","233,8",..,..,..,..,..,..,..,..,..,..,2013
Halmstad,Vittra Halmstad,Enskild,,61582926,20,"90,9","75,0",~100,"193,5",..,..,.,.,.,..,..,.,.,..,2013
Halmstad,Wallbergsskolan,Enskild,,42422737,23,"100,0","95,7","100,0","227,1",.,.,.,.,.,.,.,.,.,.,2013
Haninge,Funkis skola,Enskild,,14845171,..,..,.,..,..,..,..,.,.,..,.,.,.,.,.,2013
Haninge,Rudanskolan,Enskild,,17957898,91,"71,7","81,3","93,4","221,7",..,..,"70,4",~100,"201,5",..,..,..,..,..,2013
Hedemora,Annaskolan,Enskild,,95227669,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2013
Helsingborg,Corpore Byskola,Enskild,,19676761,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Helsingborg,Kubikskolan,Enskild,,82943624,35,"64,8","82,9",~100,"256,2",..,..,..,..,"162,5",..,..,..,..,..,2013
Helsingborg,Kunskapsskolan Helsingborg,Enskild,,48798589,88,"91,7","89,8",~100,"236,3",..,..,..,..,..,..,..,..,..,..,2013
Helsingborg,Pauliskolan,Enskild,,50194424,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2013
Helsingborg,"PeterSvenskolan, Helsingborg 1",Enskild,,16688128,62,"92,5","96,8","100,0","231,2",..,..,..,..,..,..,..,..,..,..,2013
Helsingborg,PeterSvenskolan Helsingborg 2,Enskild,,49050798,59,"92,2","86,4",~100,"216,5",..,..,..,..,..,..,..,..,..,..,2013
Helsingborg,Sally Bauerskolans Högstadium,Enskild,,53515359,37,"94,9","89,2",~100,"216,1",..,..,..,..,..,..,..,..,..,..,2013
Helsingborg,Vittra Adolfsberg,Enskild,,71069736,..,..,..,..,..,11,"47,8",..,~100,"223,2",..,..,..,..,..,2013
Helsingborg,Vittra Landborgen,Enskild,,90080902,40,"76,9","87,5",~100,"220,5",..,..,..,"100,0","204,1",..,..,.,..,..,2013
Helsingborg,Västra Alléskolan,Enskild,,57590681,18,"85,7","83,3","100,0","221,3",..,..,.,.,.,..,..,..,..,..,2013
Huddinge,Södertörns friskola,Enskild,,22019000,98,"81,7","84,7",~100,"225,6",11,"9,2","90,9","100,0","206,1",11,"9,2",..,"100,0","208,4",2013
Hudiksvall,Glada Hudikskolan,Enskild,,63507156,37,"86,0","91,9",~100,"231,8",..,..,.,.,.,..,..,..,..,..,2013
Hultsfred,Prolympia Virserum,Enskild,,12289594,19,"86,4","68,4",~100,"202,2",..,..,.,.,.,..,..,..,..,..,2013
Hylte,Labora Grundskola,Enskild,,48694604,..,..,..,..,..,.,.,.,.,.,..,..,..,..,..,2013
Håbo,Läraskolan,Enskild,,28306495,20,"100,0","85,0",~100,"227,3",.,.,.,.,.,.,.,.,.,.,2013
Håbo,Potentia Education,Enskild,,15081255,28,"93,3","100,0","100,0","275,7",..,..,..,..,..,..,..,.,.,.,2013
Härnösand,Kastellskolan,Enskild,,69454219,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Härryda,Pixbo Montessoriskola,Enskild,,54688919,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,2013
Höganäs,Brunnbyskolan,Enskild,,95113658,..,..,..,..,..,.,.,.,.,.,..,..,.,.,..,2013
Höganäs,Montessoriskolan Tellus,Enskild,,69182531,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Höganäs,"PeterSvenskolan, Höganäs",Enskild,,40689020,30,"93,8","70,0","80,0","233,9",..,..,.,.,.,..,..,..,..,..,2013
Hörby,Pilevallens skola,Enskild,,93569920,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Höör,Emiliaskolan Höörs waldorfsk.,Enskild,,63846783,16,"88,9","81,3",~100,"230,0",..,..,..,..,..,..,..,.,.,.,2013
Höör,Segrande Liv Grundskola,Enskild,,95024923,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Jokkmokk,Vuollerims Friskola,Enskild,,33468088,..,..,..,..,..,.,.,.,.,.,..,..,..,..,..,2013
Järfälla,Engelska Skolan i Järfälla,Enskild,,79093755,59,"49,2","96,6","100,0","248,2",..,..,"94,2","100,0","238,8",..,..,..,..,..,2013
Järfälla,Vittra Jakobsberg,Enskild,,66634449,35,"59,3","100,0","100,0","253,6",..,..,"88,2","100,0","241,9",..,..,..,..,..,2013
Jönköping,Engelska Skolan i Jönköping,Enskild,,86499334,69,"56,1","87,0",~100,"255,6",38,"30,9","84,2",~100,"227,1",16,"13,0","81,3",~100,"231,6",2013
Jönköping,Grennaskolan,Enskild,,66533280,11,"73,3","90,9","100,0","244,1",..,..,.,.,.,..,..,..,..,..,2013
Jönköping,Hyddans skola gr,Enskild,,80627954,..,..,.,.,.,..,..,.,.,.,.,.,.,.,.,2013
Jönköping,Kunskapsskolan Jönköping,Enskild,,86562542,11,"100,0","90,9",~100,"200,2",.,.,.,.,.,.,.,.,.,.,2013
Jönköping,Magnus Ladulås skola grund,Enskild,,17890412,..,..,.,..,..,..,..,.,.,.,.,.,.,.,.,2013
Jönköping,"Prolympia, Jönköping",Enskild,,95673344,88,"88,9","83,0","87,5","206,8",..,..,..,..,..,..,..,..,..,..,2013
Jönköping,Strandskolan,Enskild,,23250615,19,"90,5","57,9","63,2","195,9",..,..,.,.,.,..,..,.,..,..,2013
Kalix,Norrskenets Friskola i Kalix,Enskild,,20525218,21,"95,5","85,7",~100,"195,5",..,..,.,.,.,..,..,..,..,..,2013
Kalmar,Kalmar waldorfskola,Enskild,,16517618,26,"92,9","61,5","80,8","211,3",..,..,.,.,.,..,..,..,..,..,2013
Kalmar,Solhagaskolan,Enskild,,87544967,..,..,.,.,..,..,..,.,.,.,.,.,.,.,.,2013
Kalmar,Södra skolan,Enskild,,13936858,68,"100,0","95,6",~100,"234,0",.,.,.,.,.,.,.,.,.,.,2013
Karlshamn,Waldorfskolan i Karlshamn,Enskild,,22909101,12,"85,7","100,0","100,0","239,6",..,..,.,.,.,..,..,..,..,..,2013
Karlskrona,Friskolan Svettpärlan,Enskild,,93964634,25,"96,2","96,0","100,0","214,4",..,..,.,.,.,..,..,..,..,..,2013
Karlskrona,JB Galären Dator o Teknik,Enskild,,64959079,17,"85,0",..,~100,"194,3",..,..,..,..,..,..,..,..,..,..,2013
Karlskrona,"JB Galären, grundskola",Enskild,,10662754,71,"91,0","91,5",~100,"230,9",..,..,..,..,..,..,..,..,..,..,2013
Karlskrona,Karlskrona Montessorifriskola,Enskild,,67509465,13,"86,7",..,..,"140,0",..,..,..,..,..,..,..,.,.,.,2013
Karlskrona,Musikugglan,Enskild,,93919365,23,"95,8","95,7","100,0","247,2",..,..,.,.,.,..,..,..,..,..,2013
Karlskrona,Piggelinen,Enskild,,99469094,14,"87,5","78,6",~100,"203,9",..,..,.,.,.,..,..,..,..,..,2013
Karlstad,Engelska Skolan i Karlstad,Enskild,,93730568,61,"75,3","95,1",~100,"255,8",..,..,..,..,..,..,..,"90,9","100,0","232,0",2013
Katrineholm,Floda friskola,Enskild,,42354333,15,"83,3","80,0",~100,"210,7",..,..,.,.,.,..,..,..,..,..,2013
Kiruna,Friluftsskolan Vargen,Enskild,,73281949,22,"100,0","90,9",~100,"233,5",.,.,.,.,.,.,.,.,.,.,2013
Knivsta,Margarethaskolan,Enskild,,51867275,18,"90,0","94,4",~100,"240,8",..,..,.,.,.,..,..,..,..,..,2013
Kristianstad,Antonskolan,Enskild,,14555807,17,"85,0","88,2",~100,"202,9",..,..,..,..,..,..,..,..,..,..,2013
Kristianstad,Antonskolan Österäng,Enskild,,57538739,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,2013
Kristianstad,Axonaskolan i Tollarp,Enskild,,81452013,11,"100,0","90,9","100,0","230,0",.,.,.,.,.,.,.,.,.,.,2013
Kristianstad,Kristianstads Montessoriskola,Enskild,,72491525,27,"93,1","81,5",~100,"235,6",..,..,..,..,..,..,..,..,..,..,2013
Kristianstad,Lejonskolan,Enskild,,26843745,23,"100,0","60,9",~100,"186,3",.,.,.,.,.,.,.,.,.,.,2013
Kungsbacka,Kullaviks Montessoriskola,Enskild,,10902849,22,"95,7","100,0","100,0","256,3",..,..,.,.,.,..,..,..,..,..,2013
Kungsbacka,Nova Montessoriskola,Enskild,,47832100,28,"90,3","100,0","100,0","231,3",..,..,..,..,..,..,..,..,..,..,2013
Kungsbacka,Onsala Montessoriskola,Enskild,,90784555,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Kungsbacka,Vittra Forsgläntan,Enskild,,42568760,27,"93,1","96,3",~100,"255,9",..,..,..,..,..,..,..,..,..,..,2013
Kungälv,Fredkullaskolan (waldorfskola),Enskild,,38353942,12,"100,0",..,"100,0","232,7",.,.,.,.,.,.,.,.,.,.,2013
Kungälv,Friskolan i Kärna,Enskild,,25790317,44,"97,8","95,5",~100,"226,1",..,..,.,.,.,..,..,.,..,..,2013
Kungälv,Montessoriskolan Älvkullen,Enskild,,49323438,10,"100,0",..,..,"214,8",.,.,.,.,.,.,.,.,.,.,2013
Kungälv,Strandskolan,Enskild,,21917957,22,"91,7","90,9",~100,"229,1",..,..,..,..,..,..,..,..,..,..,2013
Kungälv,Tobiasskolan,Enskild,,31356056,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Kävlinge,J B Sandhammaren,Enskild,,12203393,30,"93,8","83,3",~100,"214,4",..,..,..,..,..,..,..,..,..,..,2013
Kävlinge,JB Lödde,Enskild,,19504051,45,"97,8","95,6","100,0","238,8",..,..,..,..,..,..,..,.,.,.,2013
Landskrona,Dianaskolan,Enskild,,70072964,16,"66,7","87,5","100,0","239,8",..,..,..,..,..,..,..,..,..,..,2013
Landskrona,Kunskapsskolan Landskrona,Enskild,,60956248,26,"56,5","100,0","100,0","239,6",..,..,"100,0","100,0","242,3",..,..,..,..,..,2013
Landskrona,Säbyholms montessoriskola,Enskild,,42908219,10,"90,9",..,"100,0","210,0",..,..,.,.,.,..,..,..,..,..,2013
Leksand,Banérskolan,Enskild,,89749001,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,2013
Lerum,Montessoriskolan Floda säteri,Enskild,,82651095,27,"100,0","88,9",~100,"232,2",.,.,.,.,.,.,.,.,.,.,2013
Lidingö,"Futuraskolan, Lidingö",Enskild,,47937226,20,"90,9","90,0","100,0","270,3",..,..,.,.,.,..,..,..,..,..,2013
Lidingö,Vittra på Lidingö,Enskild,,46585145,43,"97,7","93,0",~100,"256,8",..,..,.,.,.,..,..,..,..,..,2013
Lidköping,Broholmskolan,Enskild,,98083121,17,"94,4","94,1","100,0","219,7",..,..,..,..,..,..,..,.,.,.,2013
Lilla Edet,"Nya Skolan, Lilla Edet",Enskild,,74771085,11,"73,3",..,..,"207,7",..,..,.,.,.,..,..,..,..,..,2013
Linköping,Björkö friskola,Enskild,,78992223,23,"95,8","82,6",~100,"212,5",..,..,.,.,.,..,..,.,..,..,2013
Linköping,Dar Al Uloum skola,Enskild,,80769468,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,2013
Linköping,Engelska Skolan i Linköping,Enskild,,82086591,96,"81,4","96,9","100,0","248,2",10,"8,5","100,0","100,0","244,5",12,"10,2","100,0","100,0","247,3",2013
Linköping,Nya Munken,Enskild,,76521863,151,"86,3","84,8","95,4","219,1",12,"6,9","91,7",~100,"210,2",12,"6,9",..,~100,"177,7",2013
Linköping,Pandionskolan,Enskild,,16928929,..,..,.,.,..,.,.,.,.,.,..,..,.,.,..,2013
Linköping,Vittra Lambohov,Enskild,,26255239,17,"73,9","94,1","100,0","261,9",..,..,..,..,..,..,..,.,..,..,2013
Ljungby,"Karl-Oskarskolan, Ljungby",Enskild,,59021648,21,"75,0","100,0","100,0","231,8",..,..,..,..,..,..,..,..,..,..,2013
Ljusdal,Friskolan Vintergatan,Enskild,,62270371,35,"100,0","82,9",~100,"231,4",.,.,.,.,.,.,.,.,.,.,2013
Ljusdal,Tallbacken,Enskild,,84673347,17,"89,5","82,4",~100,"211,5",..,..,.,.,.,..,..,..,..,..,2013
Lomma,Montessoriskolan i Bjärred,Enskild,,52025747,25,"96,2","88,0",~100,"231,3",..,..,.,.,.,..,..,..,..,..,2013
Luleå,Norrskenets Friskola i Luleå,Enskild,,55520065,48,"94,1","68,8","87,5","201,7",..,..,.,.,..,..,..,.,..,..,2013
Luleå,Nya Läroverket,Enskild,,82183259,61,"95,3","98,4",~100,"232,2",..,..,.,.,.,..,..,..,..,..,2013
Luleå,Nya Läroverket Bergnäset,Enskild,,52734580,12,"92,3","83,3","100,0","209,2",..,..,.,.,.,..,..,..,..,..,2013
Lund,Bilingual Montes.schoolLund,Enskild,,75154610,12,"66,7","91,7",~100,"250,8",..,..,..,..,..,..,..,..,..,..,2013
Lund,Freinetskolan i Lund,Enskild,,60492534,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,2013
Lund,Humfryskolan i Lund,Enskild,,96068989,17,"94,4","82,4",~100,"242,3",..,..,.,.,.,..,..,..,..,..,2013
Lund,Kunskapsskolan Lund,Enskild,,52037312,64,"82,1","100,0","100,0","237,3",..,..,..,..,..,..,..,..,..,..,2013
Lund,Lunds Montessorigrundskola,Enskild,,70044059,20,"100,0","95,0",~100,"252,9",.,.,.,.,.,.,.,.,.,.,2013
Lund,Lunds Waldorfskola,Enskild,,96533068,12,"66,7","91,7","100,0","253,1",..,..,..,..,..,..,..,..,..,..,2013
Lund,Maria Montessori-skolan,Enskild,,40248457,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2013
Lund,Sankt Thomas Skola,Enskild,,28753548,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,2013
Malmö,Backaskolan,Enskild,,55040455,20,"76,9","100,0","100,0","247,0",..,..,..,..,..,..,..,..,..,..,2013
Malmö,Bladins grundskola,Enskild,,57534630,21,"87,5","100,0","100,0","271,5",..,..,..,..,..,..,..,..,..,..,2013
Malmö,Boukefs Privatskola,Enskild,,68849385,13,"61,9",..,~100,"203,1",..,..,..,..,..,..,..,..,..,..,2013
Malmö,Europaportens grundskola,Enskild,,24339301,15,"65,2","100,0","100,0","276,7",..,..,..,..,..,..,..,..,..,..,2013
Malmö,Humfryskolan,Enskild,,91823719,19,"67,9","84,2",~100,"221,2",..,..,..,..,..,..,..,..,..,..,2013
Malmö,Kastanjeskolan,Enskild,,19024032,..,..,..,..,"230,0",11,"50,0",..,~100,"220,0",..,..,..,..,..,2013
Malmö,Kilowattskolan i Malmö,Enskild,,61317595,10,"58,8",..,..,..,..,..,.,..,..,..,..,.,.,..,2013
Malmö,Malmö Friskola,Enskild,,75599504,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,2013
Malmö,Malmö Montessoriskola,Enskild,,13299659,27,"87,1","96,3","100,0","262,1",..,..,..,..,..,..,..,..,..,..,2013
Malmö,Mariaskolan,Enskild,,67272295,11,"55,0","100,0","100,0","248,6",..,..,..,..,..,..,..,..,..,..,2013
Malmö,Resursskolan UngArt,Enskild,,89498184,..,..,.,..,..,..,..,..,..,..,..,..,.,.,..,2013
Malmö,Runstyckets skola,Enskild,,57386343,23,"100,0","100,0","100,0","232,5",.,.,.,.,.,.,.,.,.,.,2013
Malmö,Videdals privatskolor,Enskild,,31996111,14,"93,3","92,9","100,0","271,1",..,..,..,..,..,..,..,.,.,.,2013
Malmö,Vittra Västra hamnen,Enskild,,13495830,14,"28,6","92,9","100,0","246,3",19,"38,8","63,2",~100,"232,5",16,"32,7","62,5",~100,"235,3",2013
Malmö,Ängsdals skola,Enskild,,34314029,23,"88,5","100,0","100,0","252,4",..,..,..,..,..,..,..,..,..,..,2013
Malmö,Östra Skolan,Enskild,,40470449,..,..,..,..,..,10,"47,6",..,..,"218,5",..,..,..,..,..,2013
Mariestad,Ekhamraskolan,Enskild,,29289355,43,"97,7","97,7",~100,"210,9",..,..,.,.,.,..,..,..,..,..,2013
Mark,Leteboskolan,Enskild,,79844557,14,"100,0","85,7",~100,"220,2",.,.,.,.,.,.,.,.,.,.,2013
Mark,Montessoriskolan Pärlan,Enskild,,80072686,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2013
Mark,Skogsbrynets resursskola,Enskild,,30894215,..,..,.,..,..,..,..,.,.,..,.,.,.,.,.,2013
Motala,Karin Boye-skolan,Enskild,,11664326,45,"91,8","95,6",~100,"234,7",..,..,..,..,..,..,..,.,.,.,2013
Mölndal,Montessoriskolan Kvarnhjulet,Enskild,,64490264,20,"100,0","90,0",~100,"243,8",.,.,.,.,.,.,.,.,.,.,2013
