skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_tcv139,skolverket_andel_natt_malen_alla_amnen_tcv139,skolverket_and_beh_yrk_tcv139,skolverket_gnm_meritvarde_tcv139,skolverket_andel_natt_malen_alla_exklok_tcv139,skolverket_and_beh_yrk_exklok_tcv139,skolverket_gnm_meritvarde_exklok_tcv139,year
Sundsvall,Kunskapsakademin,Enskild,Utbildningsföretaget Scandiacus AB,57722644,45,"86,7",~100,"232,1","86,7",~100,"232,1",2016
Sunne,Fryxellska skolan,Kommunal,Sunne,25636648,150,"67,3","76,0","209,0","75,9","85,7","209,0",2016
Surahammar,Hammarskolan,Kommunal,Surahammar,74582871,107,"72,0","85,0","209,3","72,0","85,0","209,3",2016
Svalöv,"Blichers friskola, Norrvidinge",Enskild,Blichergruppen AB,81535814,11,..,..,"109,1",..,..,"109,1",2016
Svalöv,Linåkerskolan,Kommunal,Svalöv,44263951,123,"73,2","87,8","216,9","73,2","87,8","216,9",2016
Svalöv,Svalövs Montessoriskola,Enskild,Svalövs Montessori Ekonomisk förening,58981647,18,"72,2",~100,"224,2","72,2",~100,"224,2",2016
Svedala,Klågerupskolan,Kommunal,Svedala,99748375,39,"84,6",~100,"230,9","84,6",~100,"230,9",2016
Svedala,Naverlönnskolan,Kommunal,Svedala,65569784,138,"80,4","93,5","221,1","82,8","96,3","227,4",2016
Svedala,Spångholmsskolan,Kommunal,Svedala,83516023,58,"82,8",~100,"231,3","82,8",~100,"231,3",2016
Svenljunga,"Mogaskolan, 7-9",Kommunal,Svenljunga,35242545,143,"53,8","63,6","199,0","65,5","77,6","201,7",2016
Säffle,Tegnérskolan,Kommunal,Säffle,40517936,143,"65,0","74,8","191,2","72,4","82,7","208,3",2016
Säter,Klockarskolan,Kommunal,Säter,60111640,105,"69,5","78,1","198,0","75,3","84,5","209,1",2016
Sävsjö,Sävsjö kristna skola,Enskild,Stiftelsen Guds Kraft,28504550,13,"84,6",~100,"228,3","84,6",~100,"228,3",2016
Sävsjö,Rörviks skola,Kommunal,Sävsjö,74170440,26,"84,6",~100,"239,0","84,0",~100,"237,4",2016
Söderhamn,HamnaSkolan,Enskild,Ellithan AB,99882962,14,"71,4",~100,"198,5","71,4",~100,"198,5",2016
Söderhamn,Bergvikskolan,Kommunal,Söderhamn,32721673,56,"76,8","82,1","215,5","76,8","82,1","215,5",2016
Söderhamn,Norrtullskolan C,Kommunal,Söderhamn,35139330,109,"72,5","77,1","218,6","74,5","79,2","220,6",2016
Söderhamn,Stenbergaskolan,Kommunal,Söderhamn,26147333,42,"81,0",~100,"226,1","82,9",~100,"224,8",2016
Söderhamn,Vågbroskolan,Kommunal,Söderhamn,95878068,44,"75,0","84,1","229,7","76,7","86,0","229,7",2016
Söderköping,Söderköpings Waldorfskola,Enskild,Stiftelsen Söderköpings Waldorfskola,70789823,14,"71,4",~100,"211,6","71,4",~100,"211,6",2016
Söderköping,Ramunderskolan,Kommunal,Söderköping,99361107,158,"79,1","81,0","234,5","89,9","92,1","237,8",2016
Södertälje,Mariaskolan,Enskild,Föreningen Maria Magdalena,31528772,..,..,..,..,..,..,..,2016
Södertälje,Mikaelgården Läkeped. Institut,Enskild,Föreningen Mikaelgårdens Läkepedagogiska Inst,73075913,..,..,..,..,..,..,..,2016
Södertälje,Örjanskolan grund,Enskild,Föreningen Örjanskolan,10661388,26,"84,6",~100,"251,4","84,6",~100,"251,4",2016
Södertälje,Järna friskola,Enskild,Järna Friskola Aktiebolag,41584790,27,"92,6",~100,"276,3","92,6",~100,"276,3",2016
Södertälje,Kringlaskolan,Enskild,Kringlaskolan AB,74489639,51,"82,4","86,3","221,5","82,4","86,3","221,5",2016
Södertälje,Magelungens grundskola Södertälje,Enskild,Magelungen Utveckling AB,14872951,..,..,..,..,..,..,..,2016
Södertälje,Nyckelskolan,Enskild,Nyckelknippan Förskole Aktiebolag,16068461,26,"92,3",~100,"268,8","92,3",~100,"268,8",2016
Södertälje,Mora Parks skola,Enskild,Stiftelsen Mora Parks Läkepedagogiska Institut,26804905,..,.,.,..,.,.,..,2016
Södertälje,Solvikskolan,Enskild,Stödföreningen För Solvikskolan,45994471,12,..,~100,"250,8",..,~100,"250,8",2016
Södertälje,Blombackaskolan,Kommunal,Södertälje,34148887,94,"63,8","77,7","228,6","64,1","77,2","229,6",2016
Södertälje,Brunnsängskolan,Kommunal,Södertälje,60570294,98,"72,4","83,7","203,8","74,7","86,3","209,3",2016
Södertälje,Hovsjöskolan,Kommunal,Södertälje,82137009,56,"62,5","80,4","209,8","68,6","88,2","219,9",2016
Södertälje,Hölöskolan,Kommunal,Södertälje,79466321,46,"80,4",~100,"228,8","80,4",~100,"228,8",2016
Södertälje,Järna grundskolor,Kommunal,Södertälje,97655739,102,"80,4","84,3","227,5","82,7","86,7","232,5",2016
Södertälje,Lina grundskola,Kommunal,Södertälje,62288230,44,"68,2","75,0","227,9","75,0","82,5","227,9",2016
Södertälje,Oxbacksskolan,Kommunal,Södertälje,99842607,53,"90,6",~100,"239,3","90,6",~100,"239,3",2016
Södertälje,Pershagenskolan,Kommunal,Södertälje,38653015,58,"93,1",~100,"256,8","93,1",~100,"256,8",2016
Södertälje,Ronnaskolan,Kommunal,Södertälje,51210001,86,"38,4","57,0","175,0","39,3","58,3","176,4",2016
Södertälje,Rosenborgskolan,Kommunal,Södertälje,11914814,129,"66,7","76,0","210,9","67,5","77,2","214,5",2016
Södertälje,Soldalaskolan,Kommunal,Södertälje,40175889,49,"85,7",~100,"232,5","85,7",~100,"232,5",2016
Södertälje,Wasaskolan,Kommunal,Södertälje,56568612,65,"61,5","78,5","211,3","61,5","78,5","211,3",2016
Södertälje,Södertälje friskola,Enskild,Södertälje Friskola Aktiebolag,38394561,29,"86,2",~100,"245,9","86,2",~100,"245,9",2016
Södertälje,Vittra Östertälje,Enskild,Vittraskolorna AB,12757193,62,"90,3",~100,"248,1","90,3",~100,"248,1",2016
Sölvesborg,Bokelundsskolan H,Kommunal,Sölvesborg,94309839,122,"59,0","68,9","220,0","69,2","80,8","220,0",2016
Sölvesborg,Mjällby skola H,Kommunal,Sölvesborg,24822447,74,"71,6","85,1","210,4","71,6","85,1","210,4",2016
Tanum,Hamburgsundskolan,Kommunal,Tanum,81072495,46,"87,0",~100,"225,6","87,0",~100,"225,6",2016
Tanum,Tanumskolan,Kommunal,Tanum,74079446,87,"59,8","70,1","196,5","78,8","92,4","225,2",2016
Tibro,Nyboskolan arbetslag A,Kommunal,Tibro,97306690,70,"75,7","84,3","217,5","75,4","84,1","216,4",2016
Tibro,Nyboskolan arbetslag B,Kommunal,Tibro,24564454,54,"59,3","70,4","186,3","66,0","78,7","193,0",2016
Tidaholm,Forsens grundskola 5-9,Kommunal,Tidaholm,40717964,49,"75,5","85,7","218,4","77,1","85,4","218,2",2016
Tidaholm,Hökensås grundskola 7-9,Kommunal,Tidaholm,42899954,95,"71,6","82,1","206,5","72,3","83,0","208,7",2016
Tierp,Aspenskolan,Kommunal,Tierp,15416514,60,"46,7","68,3","185,4","50,0","73,2","191,3",2016
Tierp,Centralskolan,Kommunal,Tierp,17240817,50,"74,0","100,0","226,3","74,0","100,0","226,3",2016
Tierp,Ol Andersskolan,Kommunal,Tierp,65153737,49,"61,2","71,4","180,9","71,4","83,3","208,3",2016
Tierp,Örbyhus skola,Kommunal,Tierp,69241995,38,"57,9","73,7","188,1","59,5","75,7","192,4",2016
Timrå,Ala skola,Kommunal,Timrå,59092675,47,"83,0","87,2","225,6","83,0","87,2","225,6",2016
Timrå,Arenaskolan,Kommunal,Timrå,81784662,163,"66,3","79,1","202,2","68,8","82,2","203,3",2016
Tingsryd,Idekulla skola,Enskild,Idekulla Skola Handelsbolag,66342347,34,"91,2",~100,"236,3","91,2",~100,"236,3",2016
Tingsryd,Dackeskolan 4-9,Kommunal,Tingsryd,56361478,119,"54,6","68,1","193,6","66,3","82,7","202,5",2016
Tjörn,Bleketskolan,Kommunal,Tjörn,16656370,62,"83,9","91,9","247,6","89,7",~100,"247,6",2016
Tjörn,Häggvallskolan,Kommunal,Tjörn,23228302,103,"68,0","72,8","200,8","76,1","81,5","206,8",2016
Tomelilla,Kastanjeskolan,Kommunal,Tomelilla,90360196,108,"69,4","85,2","208,9","69,4","85,2","208,9",2016
Torsby,Frykenskolan,Kommunal,Torsby,21568934,124,"70,2","77,4","200,4","80,6","88,9","222,2",2016
Torsby,Kvistbergsskolan,Kommunal,Torsby,83025413,23,"56,5","69,6","197,4","61,9","76,2","204,4",2016
Torsås,Torskolan H,Kommunal,Torsås,99636909,80,"48,8","62,5","191,0","61,9","77,8","195,0",2016
Tranemo,Tranängskolan 7-9,Kommunal,Tranemo,33759766,155,"62,6","78,7","205,8","64,7","81,3","210,1",2016
Tranås,Junkaremålsskolan 7-9,Kommunal,Tranås,18476537,118,"78,0","87,3","234,2","80,7","90,4","242,1",2016
Tranås,Ängarydsskolan,Kommunal,Tranås,10155751,85,"80,0","92,9","232,5","80,0","92,9","232,5",2016
Trelleborg,Kunskapsskolan Trelleborg,Enskild,Kunskapsskolan i Sverige Aktiebolag,65892623,59,"89,8",~100,"252,8","89,8",~100,"252,8",2016
Trelleborg,Fågelbäcksskolan 6-9,Kommunal,Trelleborg,94965726,53,"75,5","83,0","224,3","80,0","88,0","233,0",2016
Trelleborg,Liljeborgsskolan 7-9,Kommunal,Trelleborg,42096980,164,"70,1","78,0","230,1","76,2","84,8","230,1",2016
Trelleborg,Pilevallskolan F-9,Kommunal,Trelleborg,24947938,49,"61,2","67,3","218,4","66,7","73,3","222,5",2016
Trelleborg,Vannhögskolan 6-9,Kommunal,Trelleborg,92281801,60,"85,0","91,7","237,0","87,9",~100,"237,0",2016
Trelleborg,Väståkraskolan F-9,Kommunal,Trelleborg,16081769,60,"71,7","78,3","202,2","78,2","85,5","209,1",2016
Trollhättan,"Fridaskolan, Trollhättan",Enskild,Fridaskolorna AB,56884611,75,"96,0",~100,"261,3","96,0",~100,"261,3",2016
Trollhättan,"Nya Skolan, Trollhättan",Enskild,Nya Skolan Trollhättan Aktiebolag,11588924,41,"82,9",~100,"224,4","82,9",~100,"224,4",2016
Trollhättan,Hjortmosseskolan 7-9,Kommunal,Trollhättan,66644468,46,"89,1",~100,"247,0","89,1",~100,"247,0",2016
Trollhättan,Kronan 7-9,Kommunal,Trollhättan,63750711,52,"32,7","48,1","191,1","37,0","54,3","191,9",2016
Trollhättan,Lyrfågelskolan 7-9,Kommunal,Trollhättan,81052393,78,"89,7","92,3","226,2","93,2",~100,"231,6",2016
Trollhättan,Paradisskolan 7-9,Kommunal,Trollhättan,38786603,60,"78,3","85,0","230,9","78,3","85,0","230,9",2016
Trollhättan,Sjuntorpskolan 4-9,Kommunal,Trollhättan,39396701,44,"88,6",~100,"240,1","88,6",~100,"240,1",2016
Trollhättan,Skogshöjdens skola 3-9,Kommunal,Trollhättan,77954455,22,"86,4",~100,"247,6","90,5",~100,"251,4",2016
Trollhättan,Stavreskolan 4-9,Kommunal,Trollhättan,49525819,54,"79,6",~100,"233,3","79,6",~100,"233,3",2016
Trollhättan,Strömslundsskolan 7-9,Kommunal,Trollhättan,96091081,46,"73,9","84,8","220,7","77,3","88,6","220,7",2016
Trollhättan,Sylteskolan 7-9,Kommunal,Trollhättan,66414430,113,"54,0","73,5","203,0","55,0","74,8","204,4",2016
Trosa,Hedebyskolan,Kommunal,Trosa,45500152,41,"75,6","87,8","234,1","75,6","87,8","234,1",2016
Trosa,Tomtaklintskolan,Kommunal,Trosa,51044218,87,"82,8","88,5","249,9","84,7","90,6","254,7",2016
Tyresö,Internationella Engelska Skolan Tyresö,Enskild,Internationella Engelska Skolan i Sverige AB,60904587,55,"80,0",~100,"261,8","80,0",~100,"261,8",2016
Tyresö,Dalskolan,Kommunal,Tyresö,56130729,88,"80,7","89,8","226,8","83,5","92,9","233,1",2016
Tyresö,Kumla skola,Kommunal,Tyresö,37147254,132,"87,9","92,4","238,3","89,2","93,8","240,7",2016
Tyresö,Nyboda skola,Kommunal,Tyresö,31281674,159,"55,3","76,7","204,1","59,9","83,0","209,2",2016
Tyresö,Strandskolan,Kommunal,Tyresö,87665835,68,"94,1",~100,"262,4","97,0",~100,"269,9",2016
Tyresö,Tyresö skola,Kommunal,Tyresö,83020784,76,"86,8","93,4","244,3","94,3","100,0","259,1",2016
Täby,Byängsskolan,Enskild,Byängsskolan AB,65839656,54,"96,3",~100,"248,5","96,3",~100,"248,5",2016
Täby,Futuraskolan Bergtorp,Enskild,Futuraskolan AB,24142153,152,"96,1",~100,"270,6","96,7",~100,"272,1",2016
Täby,Helleborusskolan,Enskild,Helleborusskolan AB,45984740,31,"58,1","64,5","162,7","58,1","64,5","162,7",2016
Täby,Engelska Skolan i Täby,Enskild,Internationella Engelska Skolan i Sverige AB,12332278,185,"98,4",~100,"297,7","98,4",~100,"297,7",2016
Täby,Kunskapsskolan Täby,Enskild,Kunskapsskolan i Sverige Aktiebolag,25309669,64,"90,6",~100,"255,1","90,6",~100,"255,1",2016
Täby,Nya Tidens Montessorisk. Täby,Enskild,Nya Tidens Montessoriskola i Täby Aktiebolag,89424201,25,"92,0",~100,"287,5","92,0",~100,"287,5",2016
Täby,Milstensskolan,Enskild,Pysslingen Förskolor och Skolor AB,23312767,21,"100,0","100,0","248,5","100,0","100,0","248,5",2016
Täby,Mellansjö skola,Enskild,Solhagagruppen Enigma AB,54332921,12,..,..,"128,6",..,..,"128,6",2016
Täby,Solhagaskolan Jag Kan,Enskild,Solhagagruppen Enigma AB,34125463,..,..,..,..,..,..,..,2016
Täby,Kristinaskolan åk 4-9,Enskild,Specialpedagogiskt Forum Trt Aktiebolag,17537852,..,..,..,..,..,..,..,2016
Täby,Svalnäs skola,Enskild,"Svalnäs, ekonomisk förening",84230778,..,.,..,..,.,..,..,2016
Täby,Attundaskolan,Kommunal,Täby,85045274,..,.,..,..,.,..,..,2016
Täby,Näsbydalskolan,Kommunal,Täby,22807677,118,"81,4","87,3","251,3","85,6","91,9","257,0",2016
Täby,Näsbyparksskolan,Kommunal,Täby,96330648,53,"66,0","67,9","248,7","83,3","85,7","248,7",2016
Täby,Skarpängsskolan,Kommunal,Täby,83454509,158,"86,7","87,3","259,0","95,8","96,5","259,0",2016
Täby,Skolhagenskolan,Kommunal,Täby,69088221,125,"85,6","87,2","247,7","94,7",~100,"247,7",2016
Täby,Vallatorpsskolan,Kommunal,Täby,57206066,56,"75,0","85,7","227,7","79,2","90,6","235,8",2016
Täby,Täby Friskola-Enhagen,Enskild,Täby Friskola Aktiebolag,32231541,90,"96,7","100,0","273,3","96,7","100,0","273,3",2016
Töreboda,Töreboda Centralskola,Kommunal,Töreboda,94707451,124,"58,9","70,2","190,0","66,4","79,1","206,2",2016
Uddevalla,"Fridaskolan, Uddevalla",Enskild,Fridaskolorna AB,27489448,71,"90,1",~100,"229,7","90,1",~100,"229,7",2016
Uddevalla,Hällebergsskolan,Enskild,Hällebergsförsamlingen,52464734,..,..,..,..,..,..,..,2016
Uddevalla,Stenbackeskolan,Enskild,Stiftelsen Uddevalla Kristna Skola,77005811,..,..,..,..,..,..,..,2016
Uddevalla,Linnéaskolan,Kommunal,Uddevalla,92086024,72,"70,8","77,8","194,7","86,4",~100,"233,7",2016
Uddevalla,Norgårdenskolan 7-9,Kommunal,Uddevalla,10405686,127,"74,8","87,4","214,0","79,2","92,5","220,5",2016
Uddevalla,Ramnerödsskolan,Kommunal,Uddevalla,83416307,124,"39,5","50,0","145,8","45,8","57,9","160,8",2016
Uddevalla,Sommarhemsskolan 7-9,Kommunal,Uddevalla,45535775,98,"68,4","74,5","191,7","82,7","90,1","215,8",2016
Uddevalla,Västerskolan,Kommunal,Uddevalla,62222568,119,"83,2","95,8","227,3","84,6",~100,"230,8",2016
Uddevalla,Vassbo skola,Enskild,Vassbo Behandlingshem AB,29585776,..,.,.,..,.,.,..,2016
Ulricehamn,Stenbocksskolan,Kommunal,Ulricehamn,39517088,227,"60,8","74,9","195,4","68,7","84,6","215,3",2016
Ulricehamn,Ätradalsskolan,Kommunal,Ulricehamn,28080863,82,"74,4","87,8","220,8","75,3","87,7","221,8",2016
Umeå,Minervaskolan,Enskild,Minervaskolan i Umeå AB,75713343,88,"90,9",~100,"255,4","90,9",~100,"255,4",2016
Umeå,Primaskolan Umeå,Enskild,Primaskolan i Sverige AB,41363340,37,"75,7","86,5","223,2","75,7","86,5","223,2",2016
Umeå,Språkskolan,Enskild,Språkskolan i Umeå Ek. För.,55815397,..,..,..,..,..,..,..,2016
Umeå,"Umeå Waldorfskola, gr",Enskild,Stiftelsen Umeå Waldorfskola R Karlsson Mfl,16183719,19,"68,4",~100,"226,3","68,4",~100,"226,3",2016
Umeå,"Prolympia, Umeå",Enskild,Ulno AB,28958120,77,"93,5",~100,"254,8","93,5",~100,"254,8",2016
Umeå,Bräntbergsskolan 1,Kommunal,Umeå,44391304,27,"92,6","100,0","268,4","92,6","100,0","268,4",2016
Umeå,Bräntbergsskolan 2,Kommunal,Umeå,51963791,77,"59,7","67,5","230,3","78,0","88,1","230,3",2016
Umeå,Carlshöjdsskolan 2,Kommunal,Umeå,42259280,35,"85,7",~100,"235,7","85,7",~100,"235,7",2016
Umeå,Ersängsskolan 7-9,Kommunal,Umeå,96783420,67,"67,2","79,1","212,4","69,2","81,5","215,3",2016
Umeå,Ersängsskolan 7-9Z,Kommunal,Umeå,87499890,22,.,.,"20,0",.,.,..,2016
Umeå,Grubbeskolan 1,Kommunal,Umeå,21768043,57,"91,2",~100,"241,9","91,2",~100,"241,9",2016
Umeå,Grubbeskolan 2,Kommunal,Umeå,89248713,87,"80,5","81,6","241,4","94,6",~100,"244,4",2016
Umeå,Hagaskolan 7-9,Kommunal,Umeå,53016523,71,"80,3","91,5","236,3","80,0","91,4","237,0",2016
Umeå,Hörnefors Centralskola 7-9,Kommunal,Umeå,85438284,34,"82,4",~100,"215,1","82,4",~100,"215,1",2016
Umeå,Linneaskolan,Kommunal,Umeå,39117429,46,"82,6","87,0","227,9","82,6","87,0","227,9",2016
Umeå,Obbola skola 4-9,Kommunal,Umeå,31716818,26,"76,9",~100,"231,0","76,9",~100,"231,0",2016
Umeå,Sjöfruskolan Supra,Kommunal,Umeå,77062355,45,"86,7","100,0","262,6","86,7","100,0","262,6",2016
Umeå,Storsjöskolan 2,Kommunal,Umeå,10954341,58,"79,3","86,2","233,8","79,3","86,2","233,8",2016
Umeå,Sävar skola 1 (åk 7-9),Kommunal,Umeå,90639590,94,"80,9","94,7","225,8","80,9","94,7","225,8",2016
Umeå,Tegs centralskola 1,Kommunal,Umeå,96517991,75,"86,7","90,7","231,8","86,7","90,7","231,8",2016
Umeå,Tegs centralskola 2,Kommunal,Umeå,74820849,49,"83,7","83,7","230,2","83,7","83,7","230,2",2016
Umeå,Västangårds skola 1-9,Kommunal,Umeå,36171517,27,"85,2",~100,"261,3","85,2",~100,"261,3",2016
Umeå,Ålidhemsskolan 6-9,Kommunal,Umeå,42752416,42,"88,1",~100,"248,8","88,1",~100,"248,8",2016
Umeå,Mariaskolan,Enskild,Umeå Kristna Friskoleförening,23470743,..,.,..,..,.,..,..,2016
Umeå,Hannaskolan,Enskild,Umeå Kristna Skolförening,68950088,10,..,..,"246,5",..,..,"246,5",2016
Upplands Väsby,Vikskolan,Enskild,Magnetica Education AB,60211862,..,..,..,..,..,..,..,2016
Upplands Väsby,Sandbergska Competens,Enskild,Sandbergska Competens AB,97762139,48,"89,6",~100,"244,7","89,6",~100,"244,7",2016
Upplands Väsby,"Sverigefinska sk, Uppl Väsby",Enskild,Stift Sverigefinska Skolan i Uppl-Väsby,68403656,..,..,..,..,..,..,..,2016
Upplands Väsby,Södervikskolan,Enskild,Södervikskolan AB,49021135,105,"99,0",~100,"255,9","99,0",~100,"255,9",2016
Upplands Väsby,Grimsta skola,Kommunal,Upplands Väsby,44227469,132,"45,5","51,5","187,3","58,8","66,7","195,3",2016
Upplands Väsby,Runby skola,Kommunal,Upplands Väsby,77624936,70,"55,7","74,3","211,9","60,9","81,3","218,3",2016
Upplands Väsby,Väsby skola,Kommunal,Upplands Väsby,31018677,85,"61,2","69,4","224,1","70,3","79,7","233,5",2016
Upplands Väsby,Vittra Väsby,Enskild,Vittraskolorna AB,24374886,18,"94,4","100,0","247,4","94,4","100,0","247,4",2016
Upplands-Bro,Källskolan,Enskild,Föreningen För Kristen Skola i Upplands-Bro,69098787,15,..,~100,"247,3",..,~100,"247,3",2016
Upplands-Bro,Broskolan,Kommunal,Upplands-Bro,16983719,136,"61,8","67,6","213,3","77,1","84,4","227,5",2016
Upplands-Bro,Ekhammarskolan,Kommunal,Upplands-Bro,92284588,86,"70,9","88,4","222,6","70,9","88,4","222,6",2016
Upplands-Bro,Hagnässkolan,Kommunal,Upplands-Bro,16969143,59,"84,7","91,5","250,6","90,9",~100,"250,6",2016
Uppsala,Gluntens Montessoriskola,Enskild,Gluntens Montessoriskola Ek För,57484572,32,"90,6",~100,"269,1","90,6",~100,"269,1",2016
Uppsala,Katarinaskolan,Enskild,Heliga Katarinas Skolstiftelse,71951060,96,"85,4",~100,"262,3","85,4",~100,"262,3",2016
Uppsala,Engelska skolan i Uppsala,Enskild,Internationella Engelska Skolan i Sverige AB,83401016,110,"90,0",~100,"263,3","90,0",~100,"263,3",2016
Uppsala,JENSEN grundskola Uppsala,Enskild,Jensen Education College AB,25730446,24,"83,3",~100,"240,4","83,3",~100,"240,4",2016
Uppsala,Kajan Friskola AB,Enskild,Kajan Friskola AB,82442662,..,.,..,..,.,..,..,2016
Uppsala,Kunskapsskolan Uppsala,Enskild,Kunskapsskolan i Sverige Aktiebolag,73947432,129,"95,3",~100,"266,4","95,3",~100,"266,4",2016
Uppsala,Kunskapsskolan Uppsala Norra,Enskild,Kunskapsskolan i Sverige Aktiebolag,73806643,79,"94,9",~100,"254,7","94,9",~100,"254,7",2016
Uppsala,LOKS                   Kyrkskolan 7-9,Enskild,LOKS AB,35561766,70,"90,0",~100,"242,8","90,0",~100,"242,8",2016
Uppsala,Magelungens Grundskola Uppsala,Enskild,Magelungen Utveckling AB,39922552,..,.,.,..,.,.,..,2016
Uppsala,Raoul Wallenbergskolan Uppsala,Enskild,Raoul Wallenbergskolorna AB,56867001,53,"83,0","90,6","251,1","83,0","90,6","251,1",2016
Uppsala,Samsaskolan grundskola,Enskild,Samsa AB,49262000,17,.,..,"94,2",.,..,"94,2",2016
Uppsala,Uppsala Musikklasser,Enskild,Stiftelsen Uppsala Musikklasser,89387408,78,"96,2","100,0","281,7","96,2","100,0","281,7",2016
Uppsala,Uppsala waldorfskola,Enskild,Stiftelsen Uppsala Waldorfskola,69405762,15,"86,7",~100,"262,9","86,7",~100,"262,9",2016
Uppsala,Almunge skola,Kommunal,Uppsala,99056007,36,"77,8",~100,"228,4","77,8",~100,"228,4",2016
Uppsala,Björkvallsskolan,Kommunal,Uppsala,89112467,72,"70,8","81,9","204,8","79,7","92,2","225,6",2016
Uppsala,Eriksbergsskolan,Kommunal,Uppsala,18733789,94,"68,1","79,8","218,9","71,9","84,3","221,2",2016
Uppsala,Förberedelseskolan,Kommunal,Uppsala,45618443,178,.,.,"27,7",.,.,..,2016
Uppsala,Gottsundaskolan,Kommunal,Uppsala,93042073,92,"77,2","84,8","223,2","82,6","90,7","236,0",2016
Uppsala,Gränbyskolan,Kommunal,Uppsala,60782519,144,"79,9","89,6","212,1","81,6","91,5","215,7",2016
Uppsala,Gåvsta skola,Kommunal,Uppsala,12275851,28,"89,3",~100,"254,6","89,3",~100,"254,6",2016
Uppsala,Kvarngärdesskolan,Kommunal,Uppsala,61003071,30,"90,0","100,0","272,3","90,0","100,0","272,3",2016
Uppsala,Nannaskolan,Kommunal,Uppsala,29677535,117,"76,9","88,0","232,0","78,9","90,4","233,9",2016
Uppsala,Stordammen,Kommunal,Uppsala,95132430,26,"46,2","61,5","168,7","46,2","61,5","168,7",2016
Uppsala,Tiundaskolan,Kommunal,Uppsala,53847396,124,"79,0","90,3","233,9","82,4","94,1","242,5",2016
Uppsala,Tuna skola,Kommunal,Uppsala,26666728,15,"80,0",~100,"248,3","80,0",~100,"248,3",2016
Uppsala,Tunabergsskolan,Kommunal,Uppsala,54742485,128,"85,2","86,7","237,9","92,4","94,1","247,1",2016
Uppsala,Vaksalaskolan,Kommunal,Uppsala,28006480,123,"91,1","95,1","259,3","91,1","95,1","259,3",2016
Uppsala,Valsätraskolan,Kommunal,Uppsala,56446888,119,"76,5","84,9","242,5","80,5","89,4","242,5",2016
Uppsala,von Bahrs skola,Kommunal,Uppsala,17250578,47,"68,1",~100,"225,3","68,1",~100,"225,3",2016
Uppsala,Västra Stenhagenskolan,Kommunal,Uppsala,48134074,62,"64,5","71,0","188,1","74,1","81,5","212,5",2016
Uppsala,Ärentunaskolan,Kommunal,Uppsala,64800741,143,"65,7","87,4","212,2","68,6","91,2","220,3",2016
Uppvidinge,Åsedaskolan 7-9,Kommunal,Uppvidinge,75658239,50,"70,0","86,0","216,8","70,0","86,0","216,8",2016
Uppvidinge,Älghultskolan,Kommunal,Uppvidinge,73077490,43,"65,1","72,1","202,8","66,7","71,4","204,0",2016
Vadstena,Petrus Magni skola H,Kommunal,Vadstena,21550555,70,"90,0",~100,"239,6","90,0",~100,"239,6",2016
Vaggeryd,Fågelforsskolan 6-9,Kommunal,Vaggeryd,38944084,68,"76,5","80,9","208,1","82,5","87,3","217,6",2016
Vaggeryd,Hjortsjöskolan 6-9,Kommunal,Vaggeryd,95197505,59,"83,1","89,8","232,6","84,5","91,4","232,6",2016
Valdemarsvik,Vammarskolan 4-9,Kommunal,Valdemarsvik,53620708,92,"56,5","67,4","213,3","65,4","78,2","217,7",2016
Vallentuna,Aktiviaskolan,Enskild,Aktivia AB,48184058,..,..,..,..,..,..,..,2016
Vallentuna,Bällstabergsskolan,Kommunal,Vallentuna,52293921,11,"90,9",~100,"274,0","90,9",~100,"274,0",2016
Vallentuna,Ekebyskolan,Kommunal,Vallentuna,78821726,35,"77,1","82,9","226,3","77,1","82,9","226,3",2016
Vallentuna,Hammarbacksskolan,Kommunal,Vallentuna,31772387,48,"83,3",~100,"226,1","83,3",~100,"226,1",2016
Vallentuna,Hjälmstaskolan,Kommunal,Vallentuna,16855764,73,"82,2",~100,"229,3","82,2",~100,"229,3",2016
Vallentuna,Karbyskolan,Kommunal,Vallentuna,57370453,36,"69,4",~100,"211,4","69,4",~100,"211,4",2016
Vallentuna,Lovisedalsskolan,Kommunal,Vallentuna,29278599,49,"81,6",~100,"249,2","81,6",~100,"249,2",2016
Vallentuna,Vallentuna Friskola,Enskild,Vallentuna Friskola AB,72378947,50,"90,0",~100,"231,4","90,0",~100,"231,4",2016
Vallentuna,Vittra Vallentuna,Enskild,Vittraskolorna AB,46206050,26,"80,8",~100,"231,6","80,8",~100,"231,6",2016
Vansbro,Smedbergsskolan 6-9,Kommunal,Vansbro,20545871,62,"77,4","82,3","225,6","77,4","82,3","225,6",2016
Vara,Alléskolan,Kommunal,Vara,45270097,100,"70,0","84,0","217,3","75,3","90,3","223,7",2016
Vara,Nästegårdsskolan,Kommunal,Vara,88862132,53,"79,2","84,9","215,6","79,2","84,9","215,6",2016
Varberg,Kunskapsskolan Varberg,Enskild,Kunskapsskolan i Sverige Aktiebolag,52846430,11,"100,0","100,0","265,5","100,0","100,0","265,5",2016
Varberg,Montessorisk. Lära för livet,Enskild,Montessoristiftelsen Lära För Livet,88650307,..,..,..,..,..,..,..,2016
Varberg,Nyhemsskolan Varbergs Krist sk,Enskild,"Nyhemsskolan-Varbergs Kristna Skola, ekonomisk förening",74843338,10,..,..,"206,3",..,..,"206,3",2016
