skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,year
"Fågelviksgymnasiet, enhet 1",74322969,Tibro,1472,2120001660,Tibro,Kommunal,"24,8","0,8","24,0","49,6","69,0","4,9","10,7","0,3","853,3",2014
"Fågelviksgymnasiet, enhet 3",33000808,Tibro,1472,2120001660,Tibro,Kommunal,"16,8","1,0","15,8","29,9","85,2","1,9","11,0","0,3","576,7",2014
Rudbecksgymnasiet 1,90260899,Tidaholm,1498,2120001736,Tidaholm,Kommunal,"25,1","0,9","24,2","51,3","72,3","2,1","7,3","0,3","708,0",2014
Rudbecksgymnasiet 2,69302313,Tidaholm,1498,2120001736,Tidaholm,Kommunal,"15,9","0,8","15,1","50,5","91,1","5,0","6,7","0,3","404,0",2014
Högbergsskolan,31057219,Tierp,0360,2120000266,Tierp,Kommunal,"52,2","0,6","51,6","38,6","61,8",.,"8,6","1,0","444,0",2014
Timrå Gymnasium,27079521,Timrå,2262,2120002395,Timrå,Kommunal,"34,8","1,0","33,8","52,0","80,9","3,0","11,7","1,5","264,0",2014
AMB Education,33572033,Tingsryd,0763,5568792997,Academy of Music and Business Education AB,Enskild,"11,2","0,8","10,5","60,3","61,7","1,0","11,3","0,2","590,0",2014
Wasaskolan,64579522,Tingsryd,0763,2120000621,Tingsryd,Kommunal,"24,7","1,0","23,7","45,5","84,8","2,1","10,4","0,7","352,9",2014
Tjörns gymnasieskola,30519957,Tjörn,1419,2120001306,Tjörn,Kommunal,"2,0",.,"2,0",.,.,.,.,.,.,2014
Bollerups lantbruksinstitut,65234368,Tomelilla,1270,8388001177,Bollerups Lantbruksinstitut,Enskild,"24,7","1,0","23,7","51,7","54,2","5,7","9,7","0,5","462,0",2014
Stjerneskolan,34381901,Torsby,1737,2120001777,Torsby,Kommunal,"58,9","0,6","58,3","41,5","62,3","3,4","8,2","0,9","518,5",2014
Stage4you 1,98714145,Torsås,0834,8324016453,Torsås,Kommunal,"11,0","1,0","10,0","55,3","30,2",.,"9,9",.,.,2014
Torsås korrespondensgymnasium,55150847,Torsås,0834,2120000696,Torsås,Kommunal,"27,9","1,0","26,9","66,8","94,1","3,7","17,0","1,1","404,4",2014
Tranemo gymnasieskola 1,96414537,Tranemo,1452,2120001462,Tranemo,Kommunal,"10,7","0,5","10,3","40,9","72,5",.,"8,4",.,.,2014
Tranemo gymnasieskola 2,53069733,Tranemo,1452,2120001462,Tranemo,Kommunal,"31,0","1,0","30,0","52,8","93,2","3,3","7,6","0,6","381,7",2014
Holavedsgymnasiet ASB,99394620,Tranås,0687,2120000597,Tranås,Kommunal,"16,9","0,9","16,0","38,6","78,0","0,6","13,8","0,5","440,0",2014
Holavedsgymnasiet PKS,76342612,Tranås,0687,2120000597,Tranås,Kommunal,"13,7","0,3","13,5","57,4","77,2","1,1","6,7","0,2","600,0",2014
Holavedsgymnasiet SEB,14853321,Tranås,0687,2120000597,Tranås,Kommunal,"32,5","1,0","31,5","59,1","81,0","2,4","9,9","0,7","480,0",2014
Holavedsgymnasiet TSS,95368476,Tranås,0687,2120000597,Tranås,Kommunal,"15,8","0,8","15,1","7,8","46,4","0,6","9,8","0,7","211,4",2014
Söderslättsgymnasiet Ro 1,76448076,Trelleborg,1287,2120001199,Trelleborg,Kommunal,"30,5","1,0","29,5","32,8","57,6",.,"11,7","1,4","247,1",2014
Söderslättsgymnasiet Ro 2,31537066,Trelleborg,1287,2120001199,Trelleborg,Kommunal,"12,3","0,8","11,5","41,3","67,0","4,1","11,9","0,8","171,3",2014
Söderslättsgymnasiet Ro 3,86488203,Trelleborg,1287,2120001199,Trelleborg,Kommunal,"34,1","1,0","33,1","61,4","90,9",.,"15,6","0,9","572,2",2014
Söderslättsgymnasiet Ro 4,97509989,Trelleborg,1287,2120001199,Trelleborg,Kommunal,"25,0","0,8","24,2","62,8","83,9","12,4","5,0","1,8","69,1",2014
Drottning Blankas Gymn. Trollhättan,25156286,Trollhättan,1488,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"8,2","1,0","7,2","78,1","43,6",.,"12,2",.,.,2014
Folkuniversitetets gymnasium i Trollhättan,28081446,Trollhättan,1488,8572006313,Stiftelsen Kursverksamheten Vid Göteborgs Universitet,Enskild,"17,7","0,8","16,9","63,0","84,6",.,"14,9","0,2","1 260,0",2014
LBS Ljud & Bildskolan Trollhättan,21400668,Trollhättan,1488,5564851649,Ljud & Bildskolan LBS AB,Enskild,"15,7","1,0","14,7","22,2","68,3",.,"11,9",.,.,2014
Lichron TeknikgymnasiumTrollhättan,67036156,Trollhättan,1488,5567560635,Lichron Teknik AB,Enskild,"7,7","0,9","6,8","48,7","67,6",.,"12,7",.,.,2014
Magnus Åbergsgymnasiet 1,92949043,Trollhättan,1488,2220002998,Trollhättan,Kommunal,"17,3","0,7","16,7","18,0","82,0",.,"9,2",.,.,2014
Magnus Åbergsgymnasiet 2,92818240,Trollhättan,1488,2220002998,Trollhättan,Kommunal,"2,5","0,5","2,0",.,.,.,"26,5",.,.,2014
Magnus Åbergsgymnasiet 3,92712591,Trollhättan,1488,2220002998,Trollhättan,Kommunal,"24,3","1,0","23,3","38,5","90,1",.,"16,0",.,.,2014
Magnus Åbergsgymnasiet 4,92608619,Trollhättan,1488,2220002998,Trollhättan,Kommunal,"35,3",.,"35,3","50,2","86,1","1,4","9,7",.,.,2014
Nils Ericsonsgymnasiet 1,84329061,Trollhättan,1488,2220002998,Trollhättan,Kommunal,"28,8",.,"28,8","69,6","83,7",.,"8,2","1,0","236,0",2014
Nils Ericsonsgymnasiet 2,84225089,Trollhättan,1488,2220002998,Trollhättan,Kommunal,"34,1","1,0","33,1","51,0","82,6",.,"14,9",.,.,2014
Nils Ericsonsgymnasiet 3,84978047,Trollhättan,1488,2220002998,Trollhättan,Kommunal,"3,5","0,5","3,0",.,"100,0",.,"7,7",.,.,2014
Praktiska Trollhättan,71969230,Trollhättan,1488,5562575786,Praktiska Sverige AB,Enskild,"10,4","1,0","9,4","56,7","71,1",.,"10,5",.,.,2014
Trosa Gymnasium,20862637,Trosa,0488,2120002957,Trosa,Kommunal,"0,1","0,1",.,.,.,.,.,"0,1","30,0",2014
Tyresö Gymnasium 1,91048178,Tyresö,0138,2120000092,Tyresö,Kommunal,"44,2","1,0","43,2","53,4","74,9","2,3","11,8","1,0","510,0",2014
Energigymnasiet i Täby,30193596,Täby,0160,5567246243,Energy Technology Sweden AB,Enskild,"3,1","0,3","2,9","10,5","34,8",.,"14,3",.,.,2014
Mimers Gymnasium Täby,82718660,Täby,0160,5567797831,Adinova AB,Enskild,"14,5","1,0","13,6","59,4","75,7",.,"3,7","0,1","1 000,0",2014
Praktiska Täby,76942525,Täby,0160,5562575786,Praktiska Sverige AB,Enskild,"12,3","1,0","11,3","41,6","54,9",.,"8,2",.,.,2014
Sparre Gymnasium,12399380,Täby,0160,5567875413,Upplevelse Utbildning i Täby AB,Enskild,"3,4","0,5","2,9","37,9","79,3",.,"15,2",.,.,2014
Tibble Fristående Gymnasium,31486865,Täby,0160,5566978556,Tibble Fristående Gymnasium TFG AB,Enskild,"65,4","1,0","64,4","53,9","83,3",.,"16,2","2,0","522,0",2014
Täby Enskilda gymnasium,97265732,Täby,0160,5565680112,Täby Enskilda Gymnasium AB,Enskild,"42,8","1,0","41,8","55,4","96,0",.,"16,7","0,5","1 392,0",2014
Täby Yrkesgymnasium,10373112,Täby,0160,5562629179,Utbildningscentret för yrkestrafik i Sverige AB,Enskild,"8,4","1,0","7,4","41,2","46,6",.,"9,2",.,.,2014
Åva gymnasium,61720981,Täby,0160,2120000118,Täby,Kommunal,"48,7","1,0","47,7","49,6","81,4",.,"14,8",.,.,2014
Åva gymnasium 2,34692873,Täby,0160,2120000118,Täby,Kommunal,"43,3","1,0","42,3","50,2","78,4",.,"13,7","4,6","127,7",2014
Gymn.utb. Töreboda Kanalskolan,57446690,Töreboda,1473,2120001678,Töreboda,Kommunal,"11,6","0,5","11,1","51,5","65,6","6,3","7,4",.,.,2014
Plusgymnasiet i Uddevalla,50424828,Uddevalla,1485,5565789129,Plusgymnasiet AB,Enskild,"29,6",.,"29,6","43,7","55,5",.,"14,3",.,.,2014
Praktiska Uddevalla,38904403,Uddevalla,1485,5562575786,Praktiska Sverige AB,Enskild,"7,7","1,0","6,7","61,7","45,1",.,"7,5",.,.,2014
Thoren Innovation School Uddevalla,82931004,Uddevalla,1485,5568902653,Thoren Innovation School AB,Enskild,"7,3","1,0","6,3","90,5","90,5","7,4","13,3","0,2","420,0",2014
"Uddevalla gymnasieskola, Agneberg BF",83584125,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"7,1","0,3","6,8","87,4","86,4","4,1","10,1","0,1","862,5",2014
"Uddevalla gymnasieskola, Agneberg EK",95024660,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"13,4","0,3","13,1","55,6","91,8","4,3","15,9","0,2","985,7",2014
"Uddevalla gymnasieskola, Agneberg EKSPINT",32263814,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"2,9","0,2","2,7","51,9","100,0","2,6","25,6","0,1","985,7",2014
"Uddevalla gymnasieskola, Agneberg HA",12075195,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"8,5","0,3","8,2","81,3","98,8","1,5","11,0","0,1","750,0",2014
"Uddevalla gymnasieskola, Agneberg HT",35557948,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"3,4","0,3","3,1","65,5","100,0","0,3","8,7","0,3","108,0",2014
"Uddevalla gymnasieskola, Agneberg HU",51643587,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"0,8","0,1","0,8","81,6","100,0","1,3","6,6","0,0","500,0",2014
"Uddevalla gymnasieskola, Agneberg RL",62300682,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"8,1","0,4","7,7","83,8","79,0","1,2","10,6","0,2","540,0",2014
"Uddevalla gymnasieskola, Agneberg SA",47393891,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"17,5","0,5","17,0","79,8","89,7","1,2","17,3","0,2","1 470,0",2014
"Uddevalla gymnasieskola, Agneberg SASPINT",48414975,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"5,7","0,3","5,4","71,7","96,3","3,0",.,"0,2",.,2014
"Uddevalla gymnasieskola, Margaretegärde GLU",65265211,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"17,1","0,8","16,3","42,1","79,4",.,"10,7","0,3","583,3",2014
"Uddevalla gymnasieskola, Margaretegärde IM",67785826,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"21,8","1,0","20,8","59,6","88,7","6,3","11,8",.,.,2014
"Uddevalla gymnasieskola, Sinclair ES",11533776,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"34,3","0,5","33,8","41,5","85,8","3,7","9,0","0,6","527,6",2014
"Uddevalla gymnasieskola, Sinclair SAAK",47108751,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"5,5","0,3","5,2","31,2","92,7","3,8","9,8","0,1","392,3",2014
"Uddevalla gymnasieskola, Östabo 1 VO",97191332,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"11,6","0,4","11,2","97,8","90,7","1,5","12,2","0,2","721,1",2014
"Uddevalla gymnasieskola, Östrabo 1 IN",71938440,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"3,2","0,1","3,1","14,0","83,7","2,6","10,1","0,1","387,5",2014
"Uddevalla gymnasieskola, Östrabo 1 TE",28829503,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"23,9","0,9","23,0","38,5","86,8","1,8","11,9","0,1","3 412,5",2014
"Uddevalla gymnasieskola, Östrabo Y BA",22811839,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"15,2","0,8","14,4","21,7","94,6",.,"10,9","0,3","490,6",2014
"Uddevalla gymnasieskola, Östrabo Y EE",33205596,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"6,1","0,4","5,7","11,8","95,6",.,"13,6","0,1","770,0",2014
"Uddevalla gymnasieskola, Östrabo Y ES",99622695,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"0,9","0,0","0,9","74,4","100,0",.,"8,9","0,0","800,0",2014
"Uddevalla gymnasieskola, Östrabo Y FT",19930101,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"29,7","1,0","28,7","15,6","81,8",.,"9,1","0,3","873,3",2014
"Uddevalla gymnasieskola, Östrabo Y HV",45132264,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"10,8","0,6","10,2","73,7","77,1",.,"10,5","0,2","594,4",2014
"Uddevalla gymnasieskola, Östrabo Y VF",61647360,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"4,2","0,2","4,0","24,7","53,8",.,"11,9","0,1","671,4",2014
"Uddevalla gymnasieskola,Östrabo 1 NA",98651664,Uddevalla,1485,2120001397,Uddevalla,Kommunal,"19,1","0,6","18,5","58,7","99,7","1,8","13,2","0,1","3 050,0",2014
Tingsholmsgymnasiet 2,69504751,Ulricehamn,1491,2120001579,Ulricehamn,Kommunal,"14,0","0,6","13,4","86,1","83,5","2,8","7,3","1,0","98,0",2014
Tingsholmsgymnasiet 3,65063794,Ulricehamn,1491,2120001579,Ulricehamn,Kommunal,"21,5","1,0","20,5","59,8","79,7","4,6","10,7",.,.,2014
Tingsholmsgymnasiet 4,33657492,Ulricehamn,1491,2120001579,Ulricehamn,Kommunal,"26,5","1,0","25,5","31,5","56,9","1,7","6,8","1,1","156,8",2014
Dragonskolan BA,61622991,Umeå,2480,2120002627,Umeå,Kommunal,"16,8","0,8","16,1","23,1","87,2","4,5","11,3","0,4","476,3",2014
Dragonskolan BF,66644568,Umeå,2480,2120002627,Umeå,Kommunal,"16,0","0,5","15,5","84,3","94,9","1,4","11,2","0,4","435,0",2014
Dragonskolan EE,93659517,Umeå,2480,2120002627,Umeå,Kommunal,"13,7","0,5","13,2","20,6","82,5","1,9","12,6","0,3","664,0",2014
Dragonskolan EK,79309485,Umeå,2480,2120002627,Umeå,Kommunal,"13,4","0,5","12,9","63,1","97,4","2,7","18,6","0,4","682,9",2014
Dragonskolan ES,57133340,Umeå,2480,2120002627,Umeå,Kommunal,"0,2","0,1","0,2","100,0","100,0","21,1","15,8","0,1","30,0",2014
Dragonskolan HV,73316818,Umeå,2480,2120002627,Umeå,Kommunal,"8,4","0,3","8,1","91,6","76,9","1,8","11,8","0,2","640,0",2014
Dragonskolan HVF,73870034,Umeå,2480,2120002627,Umeå,Kommunal,"1,0","0,1","0,9","3,3","96,7","3,3","5,4","0,0","250,0",2014
Dragonskolan IC,37078868,Umeå,2480,2120002627,Umeå,Kommunal,"5,4","0,3","5,2","63,3","84,5","1,9","11,3","0,1","580,0",2014
Dragonskolan IN,27859889,Umeå,2480,2120002627,Umeå,Kommunal,"5,1","0,2","4,9","8,1","45,3","2,0","9,3","0,1","460,0",2014
Dragonskolan NA,16130958,Umeå,2480,2120002627,Umeå,Kommunal,"18,0","0,5","17,5","68,7","96,2","2,4","12,5","0,3","876,0",2014
Dragonskolan RH,29161632,Umeå,2480,2120002627,Umeå,Kommunal,"4,1","0,5","3,6","94,4","100,0","27,8","3,1","0,5","22,0",2014
Dragonskolan SA,82195565,Umeå,2480,2120002627,Umeå,Kommunal,"21,6","1,0","20,6","77,8","98,3","9,6","14,6","0,5","600,0",2014
Dragonskolan TE,33596572,Umeå,2480,2120002627,Umeå,Kommunal,"16,9","0,8","16,1","39,4","89,4","7,8","13,5","0,3","723,3",2014
Dragonskolan VF,45541222,Umeå,2480,2120002627,Umeå,Kommunal,"3,1","0,2","2,9","19,2","65,2","5,6","11,1","0,1","320,0",2014
Dragonskolans Elitidrottsgymnasium,77713695,Umeå,2480,2120002627,Umeå,Kommunal,"26,0","1,0","25,0","25,9","62,1","1,3","9,4","0,8","312,0",2014
Forslundagymnasiet GY,63451147,Umeå,2480,2120002627,Umeå,Kommunal,"14,0","0,8","13,2","53,2","79,5","6,1","10,0","0,5","262,0",2014
Fridhemsgymnasiet HA,23782610,Umeå,2480,2120002627,Umeå,Kommunal,"3,4","0,3","3,1","43,5","86,9","13,1","7,5","0,1","191,7",2014
Fridhemsgymnasiet IM,93669532,Umeå,2480,2120002627,Umeå,Kommunal,"26,7","1,0","25,7","56,0","92,2","7,8","6,5","1,5","112,0",2014
Fridhemsgymnasiet Lärling,91740395,Umeå,2480,2120002627,Umeå,Kommunal,"4,0","0,3","3,7","42,2","79,7","5,4","14,1","1,4","37,1",2014
Fridhemsgymnasiet RL,61197669,Umeå,2480,2120002627,Umeå,Kommunal,"8,0","0,3","7,7","40,4","77,5","7,8","9,4","0,1","553,8",2014
Fridhemsgymnasiet SA,89318541,Umeå,2480,2120002627,Umeå,Kommunal,"4,4","0,3","4,1","80,0","92,9","4,9","8,6","0,1","291,7",2014
Fridhemsgymnasiet VO,17812651,Umeå,2480,2120002627,Umeå,Kommunal,"7,0","0,3","6,7","76,5","90,0","9,0","10,0","0,1","515,4",2014
Midgårdsskolan ESBIL,51131594,Umeå,2480,2120002627,Umeå,Kommunal,"5,0","0,3","4,8","75,6","100,0","4,2","14,0","0,2","446,7",2014
Midgårdsskolan ESDAN,89680395,Umeå,2480,2120002627,Umeå,Kommunal,"3,3","0,2","3,2","85,4","33,5","4,7","8,9","0,2","186,7",2014
Midgårdsskolan ESEST,53696633,Umeå,2480,2120002627,Umeå,Kommunal,"5,8","0,5","5,3","75,8","100,0","3,8","16,2","0,2","573,3",2014
Midgårdsskolan ESFILVE,45580855,Umeå,2480,2120002627,Umeå,Kommunal,"3,3","0,2","3,2","36,1","39,9","4,7","8,5","0,2","180,0",2014
Midgårdsskolan ESMUS,27440210,Umeå,2480,2120002627,Umeå,Kommunal,"19,5","0,6","18,9","30,8","91,4","1,6","9,3","0,2","880,0",2014
Midgårdsskolan ESTEA,62758285,Umeå,2480,2120002627,Umeå,Kommunal,"3,1","0,2","3,0","93,6","100,0","8,4","14,4","0,2","286,7",2014
Midgårdsskolan IB,52834190,Umeå,2480,2120002627,Umeå,Kommunal,"3,8","0,4","3,4","67,5","91,1","5,9","7,7","0,2","173,3",2014
Midgårdsskolan IM,46122886,Umeå,2480,2120002627,Umeå,Kommunal,"6,7","0,5","6,2","63,3","100,0",.,"6,3","0,5","78,0",2014
Midgårdsskolan NA,16218090,Umeå,2480,2120002627,Umeå,Kommunal,"9,3","0,5","8,8","75,0","80,7","2,8","15,5","0,2","906,7",2014
Midgårdsskolan SA,64667996,Umeå,2480,2120002627,Umeå,Kommunal,"11,5","0,6","10,9","54,7","91,1","2,8","13,7","0,2","745,0",2014
Minervagymnasium,23544320,Umeå,2480,5565735049,Minervaskolan i Umeå AB,Enskild,"35,2","1,0","34,2","41,4","92,7",.,"15,2","1,0","519,0",2014
NTI-gymnasiet Umeå,57668673,Umeå,2480,5561203679,"Nordens Teknikerinstitut AB ,NTI,",Enskild,"7,1",.,"7,1","53,4","88,5",.,"17,7","0,2","840,0",2014
Thoren Business School Umeå,69040241,Umeå,2480,5566139290,ThorenGruppen AB,Enskild,"5,4","0,9","4,5","19,9","100,0",.,"9,7","0,3","146,7",2014
"Umeå Waldorfskola, gy",49136871,Umeå,2480,8940012076,Stiftelsen Umeå Waldorfskola R Karlsson Mfl,Enskild,"7,8",.,"7,8","55,0","74,6",.,"3,1",.,.,2014
Yrkesgymnasiet Umeå,91905819,Umeå,2480,5566139290,ThorenGruppen AB,Enskild,"10,0","1,0","9,0","33,8","83,4",.,"10,6","0,7","137,1",2014
Energigymnasiet Upplands Väsby,82372485,Upplands Väsby,0114,5568089246,Energy Maintenance Sweden AB,Enskild,"3,1","0,3","2,9","10,5","34,8",.,"16,4",.,.,2014
Peabskolan Upplands Väsby,54882637,Upplands Väsby,0114,5564427432,Peabskolan AB,Enskild,"6,6","0,5","6,1","19,7","37,7",.,"12,1",.,.,2014
Väsby Nya Gymnasium,20855811,Upplands Väsby,0114,2120000019,Upplands Väsby,Kommunal,"34,0","1,0","33,0","68,2","88,8","3,0","16,7","2,0","275,5",2014
Upplands-Brogymnasiet,53923398,Upplands-Bro,0139,2120000100,Upplands-Bro,Kommunal,"71,1","1,0","70,1","53,0","76,5",.,"11,9","2,5","331,1",2014
Bolandgymnasiet,87871635,Uppsala,0380,2120003005,Uppsala,Kommunal,"54,6","0,8","53,8","30,2","65,6","3,7","9,3","1,4","371,1",2014
Celsiusskolan,47844862,Uppsala,0380,2120003005,Uppsala,Kommunal,"64,3","1,0","63,3","50,3","84,3","3,4","13,8","2,4","363,8",2014
Centrum för Introduktion i Skola,74261212,Uppsala,0380,2120003005,Uppsala,Kommunal,"9,9","0,2","9,8","100,0","100,0","7,7","7,8","0,3","253,3",2014
CULTUS Gymnasieskola,22239675,Uppsala,0380,5566793492,Victum Utveckling AB,Enskild,"8,7","1,0","7,7","57,1","75,3",.,"12,5",.,.,2014
Ekebygymnasiet,37316242,Uppsala,0380,2120003005,Uppsala,Kommunal,"31,7","1,0","30,7","56,7","82,3","2,6","12,0","1,0","368,0",2014
Fyrisskolan,72984079,Uppsala,0380,2120003005,Uppsala,Kommunal,"71,1","1,0","70,1","54,2","87,5","2,9","13,8","2,3","420,0",2014
Grafiskt utbildningscenter GUC,17088475,Uppsala,0380,2120003005,Uppsala,Kommunal,"33,8","1,0","32,8","54,0","71,8","5,3","11,3","0,8","496,0",2014
Grillska Gymnasiet Uppsala,36480690,Uppsala,0380,8020170794,Stiftelsen Stadsmissionens skola,Enskild,"20,5","1,0","19,5","36,5","69,8",.,"11,6","0,5","452,0",2014
Hagströmska gymnasiet Uppsala,24787883,Uppsala,0380,5567550461,Hagströmska gymnasiet AB,Enskild,"7,8","0,5","7,3","89,0","70,4",.,"8,0","1,0","58,0",2014
Internationella Gymnasiet,32995170,Uppsala,0380,8176007055,Stiftelsen Kursverksamheten vid U-A Universitet,Enskild,"13,6","1,0","12,6","71,5","74,9",.,"12,8","0,5","324,0",2014
IT-Gymnasiet Uppsala,52048443,Uppsala,0380,5565970471,IT Gymnasiet Sverige AB,Enskild,"22,6",.,"22,6","36,1","77,6",.,"14,5","0,6","546,7",2014
JENSEN Gymnasium Uppsala,61674097,Uppsala,0380,5566358759,JENSEN education college AB,Enskild,"14,7","1,0","13,7","43,2","94,9",.,"16,0",.,.,2014
Jällagymnasiet,20173336,Uppsala,0380,2120003005,Uppsala,Kommunal,"20,6","0,8","19,8","67,5","95,0","5,0","10,9","1,5","143,3",2014
Katedralskolan,32550660,Uppsala,0380,2120003005,Uppsala,Kommunal,"67,0","1,0","66,0","59,3","90,5","3,0","16,8","2,3","494,2",2014
Kunskapsgymnasiet Uppsala,93488613,Uppsala,0380,5565661815,Kunskapsskolan i Sverige AB,Enskild,"9,6","0,4","9,2","58,7","81,5",.,"11,7",.,.,2014
Linnégymnasiet,45600034,Uppsala,0380,2120003005,Uppsala,Kommunal,"6,1","0,1","6,1","72,9","84,5",.,"10,6","0,3","213,3",2014
Livets Ords Kristna Gymnasium,74560191,Uppsala,0380,8176021106,"Stiftelsen Livets Ord, Bibelcenter O Förlag",Enskild,"12,6","1,0","11,6","59,4","83,3",.,"9,1","0,1","2 120,0",2014
Lundellska skolan,59599256,Uppsala,0380,2120003005,Uppsala,Kommunal,"65,7","1,0","64,7","70,1","90,5","1,5","14,7","2,0","475,5",2014
Praktiska Uppsala,69865450,Uppsala,0380,5562575786,Praktiska Sverige AB,Enskild,"19,8",.,"19,8","33,8","43,9","2,0","8,7",.,.,2014
Realgymnasiet Uppsala,31112935,Uppsala,0380,5565715892,Lärande i Sverige AB,Enskild,"12,3","0,8","11,6","84,4","71,4",.,"12,2","0,2","705,0",2014
Rosendalsgymnasiet,26957025,Uppsala,0380,2120003005,Uppsala,Kommunal,"45,8","1,0","44,8","49,2","98,0","2,3","17,0","1,9","401,1",2014
Thoren Business School Uppsala,90509211,Uppsala,0380,5566139290,ThorenGruppen AB,Enskild,"18,0","1,0","17,0","52,5","85,8","11,8","17,7","0,7","463,1",2014
Uven,34672151,Uppsala,0380,2120003005,Uppsala,Kommunal,"20,2","1,0","19,2","69,2","89,6","7,3","6,8","4,3","30,2",2014
Yrkesplugget Uppsala,39147056,Uppsala,0380,5566753736,Yrkesplugget i Sverige AB,Enskild,"12,9","1,0","11,9","23,9","49,2",.,"13,6","0,3","540,0",2014
Uppvidinge gymnasieskola,11953769,Uppvidinge,0760,2120000605,Uppvidinge,Kommunal,"13,0","0,5","12,5","57,7","77,8","16,0","8,1","0,5","204,0",2014
Vadstenagymnasiet,28646435,Vadstena,0584,2120002825,Vadstena,Kommunal,"11,6","1,2","10,4","55,4","76,2",.,"11,9","0,3","413,3",2014
Fenix kunskapscentrum/gymn,80426743,Vaggeryd,0665,2120000522,Vaggeryd,Kommunal,"26,8","1,0","25,8","54,1","91,1","3,9","10,9","0,6","468,3",2014
Vallentuna gymnasium,85788659,Vallentuna,0115,2120000027,Vallentuna,Kommunal,"31,3","1,0","30,3","55,1","90,8","5,3","10,9",.,.,2014
Vansbro utbildningscenter gy.,95340745,Vansbro,2021,2120002130,Vansbro,Kommunal,"19,3","1,0","18,3","38,1","79,2","0,9","7,8","1,0","143,0",2014
Lagmansgymnasiet,59521477,Vara,1470,2120002924,Vara,Kommunal,"31,3","1,0","30,3","36,1","75,0",.,"8,6","0,5","522,0",2014
Drottning Blankas Gymn. Varberg,92442684,Varberg,1383,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"10,7","1,0","9,7","57,3","83,4",.,"18,1",.,.,2014
LBS Ljud & Bildskolan Varberg,66095163,Varberg,1383,5564851649,Ljud & Bildskolan LBS AB,Enskild,"11,8","0,7","11,1","21,6","48,6","8,1","12,3","0,1","2 720,0",2014
Peder Skrivares skola Enhet 1,54599691,Varberg,1383,2120001249,Varberg,Kommunal,"38,1","1,0","37,1","61,1","93,0","2,7","14,7","1,0","545,0",2014
Peder Skrivares skola Enhet 2,54004368,Varberg,1383,2120001249,Varberg,Kommunal,"41,0","1,0","40,0","38,8","95,0","2,0","12,8","1,0","512,0",2014
Peder Skrivares skola Enhet 3,54467211,Varberg,1383,2120001249,Varberg,Kommunal,"39,0","1,0","38,0","19,7","71,8","2,6","8,0","1,0","303,0",2014
Peder Skrivares skola Enhet 4,54361562,Varberg,1383,2120001249,Varberg,Kommunal,"6,2","1,0","5,2","42,3","96,2",.,"13,1","0,8","85,0",2014
Plusgymnasiet Varberg,75992344,Varberg,1383,5565789129,Plusgymnasiet AB,Enskild,"6,1","0,7","5,4","81,5","63,0",.,"12,0",.,.,2014
Sveriges Ridgymnasium Varberg,23517683,Varberg,1383,5566814504,Sveriges Ridgymnasium AB,Enskild,"7,2","1,0","6,2","83,8","17,6",.,"10,5",.,.,2014
Sundsgymnasiet,31975673,Vellinge,1233,2120001033,Vellinge,Kommunal,"52,5","0,8","51,7","54,3","91,7","1,9","12,7",.,.,2014
Njudungsgymnasiet 2,82251333,Vetlanda,0685,2120000571,Vetlanda,Kommunal,"20,5","1,0","19,5","30,7","79,9",.,"9,6","0,5","374,0",2014
Njudungsgymnasiet 3,99864908,Vetlanda,0685,2120000571,Vetlanda,Kommunal,"22,8","1,2","21,6","60,4","85,1",.,"8,6","1,1","176,2",2014
Njudungsgymnasiet 4,27106031,Vetlanda,0685,2120000571,Vetlanda,Kommunal,"26,3","1,0","25,3","46,7","84,9",.,"12,5","0,8","421,3",2014
