skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_samtl_tcv110,skolverket_and_uppn_alla_amnen_samtl_tcv110,skolverket_and_behorig_yrkes_samtl_tcv110,skolverket_gmv_samtl_tcv110,skolverket_antal_elever_min4ar_tcv110,skolverket_andel_elever_min4ar_tcv110,skolverket_and_uppn_alla_amnen_min4ar_tcv110,skolverket_and_behorig_yrkes_min4ar_tcv110,skolverket_gmv_min4ar_tcv110,year
Gotland,Fårösundsskolan,Kommunal,Gotland,68188627,24,"91,7",~100,"235,6",24,"100,0","91,7",~100,"235,6",2015
Gotland,Högby skola,Kommunal,Gotland,94163432,67,"82,1","89,6","219,8",..,..,"81,8","89,4","218,9",2015
Gotland,Klinteskolan,Kommunal,Gotland,24429776,33,"75,8","84,8","209,5",33,"100,0","75,8","84,8","209,5",2015
Gotland,Romaskolan,Kommunal,Gotland,60700608,44,"68,2","81,8","202,0",44,"100,0","68,2","81,8","202,0",2015
Gotland,Solbergaskolan,Kommunal,Gotland,96609581,187,"75,4","79,7","223,1",162,"86,6","84,6","89,5","236,0",2015
Gotland,Solklintsskolan,Kommunal,Gotland,10979668,21,"81,0",~100,"218,3",21,"100,0","81,0",~100,"218,3",2015
Gotland,Södervärnsskolans 7-9,Kommunal,Gotland,80013231,122,"86,1","91,0","240,8",122,"100,0","86,1","91,0","240,8",2015
Gotland,"Guteskolan, grundskola",Enskild,Guteskolan AB,42518434,31,"64,5","77,4","196,3",31,"100,0","64,5","77,4","196,3",2015
Gotland,Atheneskolan,Enskild,Pysslingen Förskolor och Skolor AB,52229866,51,"90,2",~100,"247,5",51,"100,0","90,2",~100,"247,5",2015
Gotland,Orionskolan,Enskild,Stiftelsen Orionskolan,27928506,..,..,..,..,..,..,..,..,..,2015
Grums,Jättestenskolan,Kommunal,Grums,16891307,86,"57,0","70,9","186,6",72,"83,7","62,5","77,8","193,7",2015
Grästorp,Centralskolan 4-9 Norr,Kommunal,Grästorp,24376988,44,"77,3","88,6","226,2",..,..,"79,1",~100,"229,8",2015
Grästorp,Centralskolan Söder 4-9,Kommunal,Grästorp,31381375,18,"88,9","100,0","202,8",18,"100,0","88,9","100,0","202,8",2015
Gullspång,Gullstensskolan åk 7-9,Kommunal,Gullspång,89624871,69,"78,3","84,1","193,4",..,..,"85,2","91,8","206,6",2015
Gällivare,Hakkas Centralskola,Kommunal,Gällivare,73575145,15,..,"66,7","209,0",15,"100,0",..,"66,7","209,0",2015
Gällivare,Hedskolan LMH,Kommunal,Gällivare,13185131,46,"84,8",~100,"221,8",..,..,"88,4",~100,"223,6",2015
Gällivare,Myranskolan LMH,Kommunal,Gällivare,82657877,11,"90,9",~100,"186,1",11,"100,0","90,9",~100,"186,1",2015
Gällivare,Sjöparksskolan LMH,Kommunal,Gällivare,24426745,34,"85,3",~100,"243,1",34,"100,0","85,3",~100,"243,1",2015
Gällivare,Tallbackaskolan MH,Kommunal,Gällivare,68699648,39,"87,2",~100,"239,9",..,..,"86,8",~100,"240,1",2015
Gällivare,Malmens friskola,Enskild,Malmens Friskola AB,37140962,20,"90,0",~100,"252,8",20,"100,0","90,0",~100,"252,8",2015
Gävle,Friskolan Lyftet,Enskild,Friskolan Lyftet AB,11476454,16,..,~100,"204,6",..,..,..,~100,"201,3",2015
Gävle,Trädgårdsskolan GKS,Enskild,Föreningen För Gefle Kristna Skola,87088456,11,..,..,"175,7",11,"100,0",..,..,"175,7",2015
Gävle,Bergby Centralskola 1-9,Kommunal,Gävle,55373417,37,"56,8","75,7","191,3",37,"100,0","56,8","75,7","191,3",2015
Gävle,Lillhagsskolan,Kommunal,Gävle,51387807,86,"79,1","86,0","210,8",..,..,"80,7","88,0","213,1",2015
Gävle,Milboskolan,Kommunal,Gävle,93378411,24,"87,5",~100,"217,3",24,"100,0","87,5",~100,"217,3",2015
Gävle,Nynäs Montessori,Kommunal,Gävle,40944032,12,.,..,"55,3",..,..,.,.,..,2015
Gävle,Sofiedalskolan,Kommunal,Gävle,80177526,86,"82,6","94,2","221,5",86,"100,0","82,6","94,2","221,5",2015
Gävle,Solängsskolan,Kommunal,Gävle,58984764,117,"89,7","95,7","245,1",..,..,"90,4",~100,"244,9",2015
Gävle,Stenebergsskolan,Kommunal,Gävle,17248313,52,"32,7","63,5","165,4",28,"53,8","53,6",~100,"204,4",2015
Gävle,Stigslunds skola,Kommunal,Gävle,91652716,50,"94,0",~100,"246,1",50,"100,0","94,0",~100,"246,1",2015
Gävle,Stora Sätraskolan,Kommunal,Gävle,49779956,91,"47,3","67,0","183,0",73,"80,2","54,8","78,1","199,8",2015
Gävle,Sörbyskolan,Kommunal,Gävle,23223141,79,"34,2","49,4","139,9",43,"54,4","58,1","81,4","185,8",2015
Gävle,Engelska Skolan i Gävle,Enskild,Internationella Engelska Skolan i Sverige AB,53952728,187,"80,7","92,5","241,9",187,"100,0","80,7","92,5","241,9",2015
Gävle,Kunskapsskolan Gävle,Enskild,Kunskapsskolan i Sverige Aktiebolag,21423670,59,"67,8","86,4","213,8",..,..,"69,0","87,9","216,5",2015
Gävle,Magelungens grundskola Gävle,Enskild,Magelungen Utveckling AB,64745639,13,.,..,"73,7",13,"100,0",.,..,"73,7",2015
Gävle,"Prolympia, Gävle",Enskild,Ulno AB,57578095,103,"83,5",~100,"222,9",103,"100,0","83,5",~100,"222,9",2015
Göteborg,Assaredsskolan,Enskild,Assareds Skolkooperativ Ek För.,25852980,22,"72,7",~100,"230,3",..,..,"80,0",~100,"241,8",2015
Göteborg,Freinetskolan Bild & Form,Enskild,Bild och Form i Göteborg Aktiebolag,31872640,25,"84,0",~100,"242,9",25,"100,0","84,0",~100,"242,9",2015
Göteborg,Böskolans friskola,Enskild,Böskolans Friskola Ek.För.,83071620,44,"97,7","100,0","273,9",44,"100,0","97,7","100,0","273,9",2015
Göteborg,Centrina Kviberg,Enskild,Centrina utbildning Aktiebolag,17517182,35,"82,9","85,7","220,4",35,"100,0","82,9","85,7","220,4",2015
Göteborg,Centrina Lindholmen,Enskild,Centrina utbildning Aktiebolag,79866556,72,"93,1",~100,"272,7",72,"100,0","93,1",~100,"272,7",2015
Göteborg,Ebba Petterssons Grundskola,Enskild,Ebba Petterssons Privatskolas Stiftelse,88247874,98,"91,8","100,0","244,9",98,"100,0","91,8","100,0","244,9",2015
Göteborg,Römosseskolan,Enskild,Föreningen Islamiska Skolan i Göteborg,72408586,37,"59,5",~100,"229,7",37,"100,0","59,5",~100,"229,7",2015
Göteborg,Sverigefinska skolan i Gbg,Enskild,Föreningen Sverigefinska Skolan i Göteborg Ek F,56289245,..,..,..,..,..,..,..,..,..,2015
Göteborg,Prolympia Göteborg,Enskild,Gothenburg Association AB,54367867,66,"69,7","81,8","213,7",66,"100,0","69,7","81,8","213,7",2015
Göteborg,Änglagårdskolan,Enskild,Gothenburg Association AB,87427999,42,"88,1",~100,"245,7",42,"100,0","88,1",~100,"245,7",2015
Göteborg,Bergsjöskolan 7-9,Kommunal,Göteborg,35416997,79,"19,0","27,8","128,4",63,"79,7","23,8","34,9","144,1",2015
Göteborg,Bergums skola 4-9,Kommunal,Göteborg,98771543,71,"62,0","84,5","210,5",..,..,"62,3","85,5","212,1",2015
Göteborg,Brunnsboskolan 6-9,Kommunal,Göteborg,47880725,53,"66,0","79,2","222,3",..,..,"65,4","78,8","222,4",2015
Göteborg,Bräckeskolan 4-9,Kommunal,Göteborg,83564098,47,"66,0","78,7","202,2",..,..,"73,8","88,1","215,0",2015
Göteborg,Ekåsa skola och internat,Kommunal,Göteborg,93540606,..,..,..,..,..,..,..,..,..,2015
Göteborg,Fiskebäcksskolan 6-9,Kommunal,Göteborg,99641533,58,"87,9",~100,"250,2",58,"100,0","87,9",~100,"250,2",2015
Göteborg,Fjällskolan,Kommunal,Göteborg,53332364,82,"65,9","81,7","216,8",..,..,"67,5","83,8","221,2",2015
Göteborg,Flatåsskolan 3,Kommunal,Göteborg,98780126,10,..,..,"149,5",10,"100,0",..,..,"149,5",2015
Göteborg,Frölundaskolan 7-9,Kommunal,Göteborg,97820269,59,"52,5","64,4","186,9",..,..,"60,8","74,5","200,6",2015
Göteborg,Gamlestadsskolan H,Kommunal,Göteborg,90710178,103,"66,0","77,7","214,3",..,..,"69,8","81,3","218,0",2015
Göteborg,Gathenhielmsskolan,Kommunal,Göteborg,22061272,..,..,..,..,..,..,..,..,..,2015
Göteborg,Glöstorpsskolan 7-9,Kommunal,Göteborg,85656343,76,"63,2","78,9","206,3",..,..,"70,1","86,6","221,2",2015
Göteborg,Guldhedsskolan 7-9,Kommunal,Göteborg,98423378,68,"70,6","88,2","237,6",..,..,"73,8",~100,"247,7",2015
Göteborg,Gårdstensskolan 4-9,Kommunal,Göteborg,55886598,49,"24,5","42,9","162,1",36,"73,5","27,8","50,0","171,5",2015
Göteborg,Herrgårdsskolan 7-9,Kommunal,Göteborg,63232687,36,"61,1","72,2","211,2",36,"100,0","61,1","72,2","211,2",2015
Göteborg,Hjällboskolan 6-9,Kommunal,Göteborg,63925456,90,"41,1","44,4","166,3",73,"81,1","49,3","53,4","189,3",2015
Göteborg,Hovåsskolan 7-9,Kommunal,Göteborg,32603156,98,"80,6","91,8","247,9",..,..,"82,3","93,8","250,6",2015
Göteborg,Johannebergsskolan 3-9,Kommunal,Göteborg,69180213,..,..,..,..,..,..,..,..,..,2015
Göteborg,Jättestensskolan 2 F-9,Kommunal,Göteborg,55124975,41,"70,7",~100,"223,6",41,"100,0","70,7",~100,"223,6",2015
Göteborg,Kannebäcksskolan döva och hörsel,Kommunal,Göteborg,61201931,..,..,..,..,..,..,..,..,..,2015
Göteborg,Klarebergsskolan 7-9,Kommunal,Göteborg,20429308,94,"74,5","81,9","220,1",94,"100,0","74,5","81,9","220,1",2015
Göteborg,Kålltorpsskolan,Kommunal,Göteborg,16954837,104,"92,3","95,2","254,3",..,..,"94,1",~100,"257,3",2015
Göteborg,Kärralundsskolan,Kommunal,Göteborg,14037390,77,"96,1",~100,"259,9",77,"100,0","96,1",~100,"259,9",2015
Göteborg,Kärraskolan 6-9,Kommunal,Göteborg,85930744,58,"74,1","86,2","217,5",58,"100,0","74,1","86,2","217,5",2015
Göteborg,Lindåsskolan 4-9,Kommunal,Göteborg,61845870,50,"96,0",~100,"280,8",..,..,"98,0",~100,"280,8",2015
Göteborg,Lundenskolan,Kommunal,Göteborg,37379026,81,"58,0","66,7","205,4",..,..,"62,7","72,0","215,5",2015
Göteborg,Lövgärdesskolan 4-9,Kommunal,Göteborg,31928894,72,"33,3","63,9","187,5",53,"73,6","39,6","81,1","202,5",2015
Göteborg,Nordhemsskolan,Kommunal,Göteborg,19560147,138,"87,0","93,5","242,1",..,..,"87,6","94,2","243,9",2015
Göteborg,Nordlyckeskolan,Kommunal,Göteborg,93002896,109,"98,2",~100,"261,4",109,"100,0","98,2",~100,"261,4",2015
Göteborg,Nya Påvelundsskolan 1,Kommunal,Göteborg,33511119,79,"93,7",~100,"259,0",79,"100,0","93,7",~100,"259,0",2015
Göteborg,Nya Påvelundsskolan 2,Kommunal,Göteborg,43441529,75,"96,0",~100,"261,0",..,..,"97,3",~100,"262,3",2015
Göteborg,Nygårdsskolan 4-9,Kommunal,Göteborg,65651613,53,"88,7",~100,"249,9",53,"100,0","88,7",~100,"249,9",2015
Göteborg,Nytorpsskolan 4-9,Kommunal,Göteborg,16396010,73,"45,2","57,5","184,8",59,"80,8","54,2","69,5","202,4",2015
Göteborg,Rambergsskolan 7-9,Kommunal,Göteborg,42348410,34,"41,2","52,9","172,7",..,..,"50,0","60,7","190,5",2015
Göteborg,Resursskolan Linden,Kommunal,Göteborg,52459484,..,..,..,..,..,..,..,..,..,2015
Göteborg,Ryaskolan F-9,Kommunal,Göteborg,28890717,64,"23,4","45,3","140,4",44,"68,8","34,1","59,1","166,5",2015
Göteborg,Sandeklevsskolan 7-9,Kommunal,Göteborg,91683255,60,"35,0","58,3","172,7",48,"80,0","41,7","68,8","186,2",2015
Göteborg,Sannaskolan,Kommunal,Göteborg,71588377,43,"55,8","76,7","181,7",..,..,"61,5","82,1","185,5",2015
Göteborg,Sjumilaskolan F-9 A,Kommunal,Göteborg,70895303,51,"33,3","64,7","174,4",..,..,"34,9","72,1","186,5",2015
Göteborg,Skälltorpssk. Sv. Balettskolan,Kommunal,Göteborg,24937512,10,..,"100,0","247,3",10,"100,0",..,"100,0","247,3",2015
Göteborg,Skälltorpsskolan,Kommunal,Göteborg,21231498,120,"75,8","85,0","215,9",..,..,"80,5","90,3","220,5",2015
Göteborg,Styrsöskolan,Kommunal,Göteborg,81179515,45,"80,0",~100,"218,0",45,"100,0","80,0",~100,"218,0",2015
Göteborg,Toleredsskolan 7-9,Kommunal,Göteborg,27774991,114,"66,7","78,9","207,6",..,..,"69,7","82,6","212,6",2015
Göteborg,Torpaskolan,Kommunal,Göteborg,11465652,52,"63,5","86,5","221,2",..,..,"64,7","88,2","224,5",2015
Göteborg,Torslandaskolan 6-9,Kommunal,Göteborg,54282652,92,"81,5","91,3","220,3",..,..,"83,1","93,3","225,0",2015
Göteborg,Trulsegårdsskolan 6-9,Kommunal,Göteborg,84103533,133,"75,9","85,0","235,9",..,..,"79,4","88,9","241,1",2015
Göteborg,Tynneredsskolan,Kommunal,Göteborg,12026626,59,"40,7","52,5","177,7",44,"74,6","52,3","65,9","206,1",2015
Göteborg,Utmarksskolan,Kommunal,Göteborg,39000072,75,"29,3","53,3","157,1",50,"66,7","42,0","78,0","210,9",2015
Göteborg,Vättleskolan 4-9,Kommunal,Göteborg,27760036,44,"63,6","68,2","212,4",..,..,"70,3","75,7","231,5",2015
Göteborg,Ånässkolan,Kommunal,Göteborg,84500401,..,..,..,..,..,..,..,..,..,2015
Göteborg,Önneredsskolan 2,Kommunal,Göteborg,26855170,87,"79,3","92,0","242,7",..,..,"79,1","91,9","243,3",2015
Göteborg,ISGR/International section,Enskild,Göteborgsregionens Internationella Skola AB,30191226,42,.,.,.,26,"61,9",.,.,.,2015
Göteborg,ISGR/Swedish-English,Enskild,Göteborgsregionens Internationella Skola AB,80498460,51,"88,2","100,0","272,3",50,"98,0","88,0","100,0","271,8",2015
Göteborg,Internationella Engelska Skolan Johanneberg,Enskild,Internationella Engelska Skolan i Sverige AB,41921747,86,"75,6","90,7","235,0",..,..,"78,3","92,8","236,1",2015
Göteborg,Drakbergsskolan,Enskild,Kannebäcks Friskoleförening,60526603,17,"94,1",~100,"234,3",17,"100,0","94,1",~100,"234,3",2015
Göteborg,Kunskapsskolan Krokslätt,Enskild,Kunskapsskolan i Sverige Aktiebolag,83045482,55,"80,0",~100,"233,4",55,"100,0","80,0",~100,"233,4",2015
Göteborg,Magelungens Grundskola Karlaskolan Göteborg,Enskild,Magelungen Utveckling AB,97205555,..,..,..,..,..,..,..,..,..,2015
Göteborg,Franska skolan Göteborg,Enskild,Medborgarskolan Region Väst,55860193,20,"100,0","100,0","261,1",20,"100,0","100,0","100,0","261,1",2015
Göteborg,Fenestra Brottkärr,Enskild,Pysslingen Förskolor och Skolor AB,21497343,24,"95,8","100,0","270,8",24,"100,0","95,8","100,0","270,8",2015
Göteborg,Fenestra Centrum,Enskild,Pysslingen Förskolor och Skolor AB,87139814,70,"85,7",~100,"246,7",70,"100,0","85,7",~100,"246,7",2015
Göteborg,Fenestra S:t Jörgen,Enskild,Pysslingen Förskolor och Skolor AB,27265374,69,"78,3","89,9","234,3",69,"100,0","78,3","89,9","234,3",2015
Göteborg,Montessoriskolan Skäret,Enskild,Skäret Skolkooperativ Ek.För.,25894254,15,"86,7","100,0","237,0",15,"100,0","86,7","100,0","237,0",2015
Göteborg,Montessoriskolan Casa,Enskild,Stiftelsen Casa Dei Bambini,76938537,28,"96,4","100,0","276,8",28,"100,0","96,4","100,0","276,8",2015
Göteborg,The English School Gothenburg,Enskild,Stiftelsen English School In Gothenburg,66890810,29,"82,8",~100,"270,7",29,"100,0","82,8",~100,"270,7",2015
Göteborg,Brandströmska skolan Nylöse,Enskild,Stiftelsen För Kristen Skolverksamhet,11295861,32,"68,8","78,1","228,4",..,..,"71,0","80,6","230,1",2015
Göteborg,Vasaskolan,Enskild,Stiftelsen För Kristna Skolor,56168083,41,"90,2",~100,"246,7",..,..,"90,0",~100,"246,3",2015
Göteborg,Kristinaskolan,Enskild,Stiftelsen För Kristna Skolor i Angeredområdet,46512685,21,"81,0",~100,"230,4",..,..,"85,0",~100,"235,5",2015
Göteborg,Göteborgs Högre Samskola gr.,Enskild,Stiftelsen Göteborgs Högre Samskola,52538248,180,"94,4",~100,"272,0",..,..,"94,4",~100,"272,3",2015
Göteborg,Katolska skolan av Notre Dame,Enskild,Stiftelsen Katolska Skolan Av Notre Dame,45045293,48,"54,2","81,3","213,9",..,..,"57,8","86,7","223,9",2015
Göteborg,Montessoriskolan Centrum,Enskild,Stiftelsen Montessoriskolan Centrum,73995321,28,"64,3","100,0","236,3",..,..,"66,7","100,0","235,8",2015
Göteborg,Rudolf Steinerskolan Göteborg,Enskild,Stiftelsen Rudolf Steinerskolan,42817980,17,"88,2",~100,"270,6",17,"100,0","88,2",~100,"270,6",2015
Göteborg,Victoriaskolan,Enskild,Tyska Skolan Göteborg Ek. För.,80678068,45,"82,2",~100,"250,1",..,..,"84,1",~100,"251,2",2015
Göteborg,Vetenskapsskolan,Enskild,Vetenskapsskolan i Göteborg AB,71259819,13,..,~100,"240,6",13,"100,0",..,~100,"240,6",2015
Göteborg,Vittra Kronhusparken,Enskild,Vittraskolorna AB,67543412,44,"88,6",~100,"253,4",44,"100,0","88,6",~100,"253,4",2015
Göteborg,Martinaskolan,Enskild,"Waldorfföreningen, Martinaskolan, ekonomisk förening",47927698,13,..,~100,"261,2",..,..,..,~100,"270,2",2015
Göteborg,Waldorfskolan Grenkvist,Enskild,Waldorfskolan Grenkvist Ekonomisk Förening,36158006,..,..,..,..,..,..,..,..,..,2015
Götene,Fornängsskolan,Kommunal,Götene,34900938,85,"82,4","82,4","216,6",..,..,"85,4","85,4","222,4",2015
Götene,Västerbyskolan,Kommunal,Götene,78301783,56,"73,2","83,9","218,9",..,..,"81,6",~100,"224,7",2015
Habo,Hagabodaskolan 7-9,Kommunal,Habo,38553494,122,"73,0","82,0","212,7",..,..,"73,6","82,6","213,0",2015
Hagfors,Kyrkhedens skola F-9,Kommunal,Hagfors,76332227,42,"78,6","88,1","212,4",42,"100,0","78,6","88,1","212,4",2015
Hagfors,Älvstranden bildn.centrum 7-9,Kommunal,Hagfors,18315553,76,"77,6","84,2","205,2",..,..,"90,5",~100,"225,1",2015
Hallsberg,Folkasboskolan,Kommunal,Hallsberg,99707554,53,"83,0","88,7","229,3",..,..,"84,6","88,5","228,7",2015
Hallsberg,Transtenskolan,Kommunal,Hallsberg,63503591,107,"79,4","86,9","225,8",..,..,"80,6","87,4","228,1",2015
Hallstahammar,Lindboskolan,Kommunal,Hallstahammar,88403889,116,"63,8","74,1","203,3",99,"85,3","67,7","79,8","214,9",2015
Hallstahammar,Tunboskolan,Kommunal,Hallstahammar,32758035,40,"70,0","77,5","210,1",40,"100,0","70,0","77,5","210,1",2015
Halmstad,Brunnsåkersskolan 2,Kommunal,Halmstad,87737594,..,..,..,..,..,..,..,..,..,2015
Halmstad,Brunnsåkersskolan 3,Kommunal,Halmstad,61539121,73,"82,2","87,7","215,8",..,..,"85,7","91,4","216,3",2015
Halmstad,Furulundsskolan 1,Kommunal,Halmstad,84189577,49,"91,8",~100,"229,8",49,"100,0","91,8",~100,"229,8",2015
Halmstad,Fyllingeskolan 1,Kommunal,Halmstad,65388353,48,"72,9","81,3","202,8",48,"100,0","72,9","81,3","202,8",2015
Halmstad,Getingeskolan 1,Kommunal,Halmstad,99829869,71,"81,7","90,1","222,6",71,"100,0","81,7","90,1","222,6",2015
Halmstad,Gullbrandstorpsskolan 1,Kommunal,Halmstad,74772092,47,"89,4",~100,"220,4",47,"100,0","89,4",~100,"220,4",2015
Halmstad,Stenstorpsskolan 1,Kommunal,Halmstad,52347444,49,"98,0","100,0","242,0",49,"100,0","98,0","100,0","242,0",2015
Halmstad,Söndrumskolan 1,Kommunal,Halmstad,18751410,69,"89,9","92,8","220,3",..,..,"91,2",~100,"221,7",2015
Halmstad,Söndrumskolan 2,Kommunal,Halmstad,67995611,52,"90,4",~100,"229,7",52,"100,0","90,4",~100,"229,7",2015
Halmstad,Trönningeskolan 1,Kommunal,Halmstad,86573921,62,"87,1",~100,"221,5",62,"100,0","87,1",~100,"221,5",2015
Halmstad,Vallåsskolan 1,Kommunal,Halmstad,19274764,77,"83,1","85,7","211,7",..,..,"92,8",~100,"222,5",2015
Halmstad,Östergårdsskolan 2,Kommunal,Halmstad,24668709,133,"66,9","74,4","199,3",123,"92,5","70,7","78,0","204,9",2015
Halmstad,Östergårdsskolan 4,Kommunal,Halmstad,90716191,..,.,.,..,..,..,.,.,..,2015
Halmstad,Österledskolan 1,Kommunal,Halmstad,92337813,53,"79,2","84,9","215,5",..,..,"85,4","89,6","220,9",2015
Halmstad,Österledskolan 2,Kommunal,Halmstad,14732915,46,"80,4","82,6","208,4",46,"100,0","80,4","82,6","208,4",2015
Halmstad,Eketånga Montessoriskola,Enskild,Ideella Föreningen Eketånga Montessoriskola,28459364,24,"95,8",~100,"248,0",24,"100,0","95,8",~100,"248,0",2015
Halmstad,Engelska Skolan i Halmstad,Enskild,Internationella Engelska Skolan i Sverige AB,78323330,50,"82,0","90,0","250,3",..,..,"83,3",~100,"251,1",2015
Halmstad,Vittra Halmstad,Enskild,Vittraskolorna AB,61582926,26,"88,5",~100,"226,1",..,..,"92,0",~100,"227,4",2015
Halmstad,Wallbergsskolan,Enskild,Wallbergsskolans Ideella Förening,42422737,23,"91,3",~100,"222,9",23,"100,0","91,3",~100,"222,9",2015
Hammarö,Hammarlundens skola 7-9,Kommunal,Hammarö,95243847,89,"93,3",~100,"264,8",..,..,"93,2",~100,"264,8",2015
Hammarö,Mörmoskolan 7-9,Kommunal,Hammarö,47480841,93,"79,6","86,0","226,6",..,..,"86,0","93,0","233,0",2015
Haninge,Funkis skola,Enskild,Funktionsanalys i Skolan Stockholm AB,14845171,..,.,..,..,..,..,.,..,..,2015
Haninge,Brandbergsskolan,Kommunal,Haninge,73184968,67,"56,7","73,1","206,9",..,..,"64,9","82,5","221,6",2015
Haninge,Dalarö skola,Kommunal,Haninge,74610376,15,"80,0",~100,"239,8",15,"100,0","80,0",~100,"239,8",2015
Haninge,HagaLyckebyskolan,Kommunal,Haninge,81680693,88,"88,6",~100,"234,6",88,"100,0","88,6",~100,"234,6",2015
Haninge,Ribbyskolan,Kommunal,Haninge,59497255,152,"67,8","76,3","217,1",126,"82,9","73,8","84,1","219,6",2015
Haninge,Söderbymalmsskolan,Kommunal,Haninge,10035236,167,"60,5","79,6","206,7",..,..,"62,7","82,9","209,8",2015
Haninge,Tungelsta skola,Kommunal,Haninge,38975788,112,"78,6","87,5","216,0",..,..,"79,3","87,4","216,4",2015
Haninge,Utö skola,Kommunal,Haninge,86577795,..,..,..,..,..,..,..,..,..,2015
Haninge,Vendelsömalmsskolan,Kommunal,Haninge,72266104,67,"64,2","73,1","206,9",..,..,"66,7","77,2","208,8",2015
Haninge,Deltaskolan,Enskild,"Lundberg, Maria",73926940,19,"57,9",~100,"208,7",19,"100,0","57,9",~100,"208,7",2015
Haninge,Rudanskolan,Enskild,Pysslingen Förskolor och Skolor AB,17957898,116,"76,7","90,5","233,8",..,..,"76,5","90,4","233,7",2015
Haparanda,Gränsskolan,Kommunal,Haparanda,29991096,57,"70,2","78,9","202,2",..,..,"78,0","88,0","213,9",2015
Haparanda,Marielundsskolan,Kommunal,Haparanda,13768276,17,"88,2",~100,"210,1",17,"100,0","88,2",~100,"210,1",2015
Haparanda,Språkskolan,Kommunal,Haparanda,98675845,27,"96,3",~100,"240,4",14,"51,9","92,9",~100,"254,3",2015
Heby,Heby skola 7-9,Kommunal,Heby,36374693,75,"84,0","92,0","227,4",..,..,"89,9",~100,"236,9",2015
Heby,Östervåla skola 7-9,Kommunal,Heby,88091927,66,"66,7","84,8","199,9",..,..,"67,2","85,9","203,0",2015
Hedemora,Vasaskolan 7-9,Kommunal,Hedemora,35494110,134,"80,6","88,8","212,7",..,..,"88,1","94,9","226,3",2015
Hedemora,Olympica,Enskild,Olympica AB,87686617,19,"63,2","73,7","188,4",19,"100,0","63,2","73,7","188,4",2015
Hedemora,Annaskolan,Enskild,Stiftelsen Annaskolan,95227669,..,..,..,..,..,..,..,..,..,2015
Helsingborg,Dalhemsskolan,Kommunal,Helsingborg,86764194,34,"55,9","61,8","193,9",..,..,"66,7","74,1","224,3",2015
Helsingborg,Elinebergsskolan,Kommunal,Helsingborg,41811292,123,"82,1","86,2","227,4",..,..,"84,3","87,0","230,0",2015
Helsingborg,Gantofta skola,Kommunal,Helsingborg,28424574,34,"73,5","79,4","208,2",34,"100,0","73,5","79,4","208,2",2015
Helsingborg,Gläntanskolan,Kommunal,Helsingborg,67721487,25,"64,0",~100,"226,6",..,..,"60,9",~100,"222,1",2015
Helsingborg,Holstagårdsskolan,Kommunal,Helsingborg,28754789,40,"92,5",~100,"262,8",40,"100,0","92,5",~100,"262,8",2015
Helsingborg,Högastensskolan,Kommunal,Helsingborg,13175575,94,"78,7","85,1","215,2",..,..,"85,1","92,0","227,2",2015
Helsingborg,International school of Hbg/Gr,Kommunal,Helsingborg,47717980,33,"63,6","63,6","281,5",..,..,"77,8","77,8","289,2",2015
Helsingborg,Laröds skola,Kommunal,Helsingborg,87251726,30,"90,0",~100,"266,3",..,..,"96,4",~100,"277,1",2015
Helsingborg,Maria Parkskolan,Kommunal,Helsingborg,42164778,67,"76,1","79,1","229,7",..,..,"86,4","88,1","242,3",2015
Helsingborg,Musikgrundskolan Synkopen,Kommunal,Helsingborg,55200547,17,"82,4",~100,"237,5",17,"100,0","82,4",~100,"237,5",2015
Helsingborg,Påarps skola,Kommunal,Helsingborg,66351593,51,"52,9","74,5","188,9",..,..,"56,3","77,1","191,4",2015
Helsingborg,Rydebäcks skola,Kommunal,Helsingborg,40385157,49,"98,0",~100,"255,6",49,"100,0","98,0",~100,"255,6",2015
Helsingborg,Slottsvångsskolan,Kommunal,Helsingborg,63957271,21,"57,1","66,7","207,9",..,..,"55,0","65,0","208,5",2015
Helsingborg,Svensgårdsskolan,Kommunal,Helsingborg,89693828,33,"63,6","69,7","216,6",33,"100,0","63,6","69,7","216,6",2015
Helsingborg,Tågaborgsskolan,Kommunal,Helsingborg,87948789,96,"68,8","79,2","232,0",..,..,"70,3","81,3","235,1",2015
Helsingborg,Västra Berga skola,Kommunal,Helsingborg,28060171,19,"52,6","57,9","206,0",19,"100,0","52,6","57,9","206,0",2015
Helsingborg,Västra Ramlösa skola,Kommunal,Helsingborg,49010566,43,"93,0",~100,"263,6",43,"100,0","93,0",~100,"263,6",2015
Helsingborg,Wieselgrensskolan,Kommunal,Helsingborg,51014228,95,"61,1","69,5","204,0",..,..,"67,4","76,7","217,3",2015
